tradeDate,ticker,scenario,buy_surface_tier,sell_archetype,ranking_score,stockPrice,return_5d_pct,drawdown_20d_pct,extension_50d_pct,relative_return_63d_pct,rs63_cross_section_pct,ivRank1y,iv30d,rr25,rr25_pct252,callskew,callskew_pct252,call_wing_30,call_wing_10,call_wing_10_pct252,call_kink,call_kink_pct252,put_wing_10_pct252,iv10d_pct252,avgOptVolu20d,oi,dollar_stock_volume,confidence_core,mktWidthVol,nextErn,wksNextErn,earnings_near_front_expiry,sector,sectorName,bestEtf,universe_size,liquid_universe_size
2026-08-11,VFC,buy-first puke,good,,65.8531746031746,14.72,-3.4754098360655683,-18.94273127753303,-10.772737191765891,-18.959664303933287,16.065573770491802,0.0,41.9059,3.626899999999999,65.87301587301587,-0.6199000000000012,14.682539682539682,2.4964999999999975,6.536499999999997,40.07936507936508,6.985599999999998,69.44444444444444,7.142857142857143,4.365079365079365,12597.45,591726,128216586.0,50.0241,10.06083,0000-00-00,10,False,Apparel & Textile Manufacturing,C. Cyclical,XLY,305,266
2026-08-11,JBLU,buy-first puke,,,57.59920634920635,5.81,-10.061919504643967,-10.061919504643967,4.983556792309618,16.073001098940008,74.75409836065575,7.87,53.583999999999996,7.743700000000004,81.34920634920636,-1.3948999999999998,10.714285714285714,4.848700000000008,7.364899999999992,49.6031746031746,2.883599999999994,67.46031746031746,41.666666666666664,1.1904761904761905,24820.15,984656,218819033.64,56.2787,8.4819,0000-00-00,11,False,Airlines,Industrials,XLI,305,266
2026-08-11,CIFR,buy-first puke,,,49.047619047619044,17.19,-16.228070175438592,-32.93015996878657,-24.17759820743314,-16.148604396099188,17.704918032786885,20.6,98.4328,7.657000000000011,92.06349206349206,-3.2218000000000018,3.1746031746031744,4.712199999999996,9.694000000000003,42.46031746031746,9.170000000000016,70.23809523809524,10.714285714285714,12.698412698412698,112269.8,1469016,513000875.23999995,82.021,11.25158,0000-00-00,11,False,Investment Banking & Brokerage,Financials,XLF,305,266
2026-08-11,GME,buy-first puke,,,47.3015873015873,18.8,-2.083333333333326,-15.467625899280568,-12.286431457444923,-20.176326699683557,14.754098360655737,23.01,40.9301,-3.6995000000000005,78.17460317460318,4.053799999999995,10.317460317460318,17.806199999999997,15.826999999999995,9.523809523809524,-13.094300000000004,33.333333333333336,58.333333333333336,7.936507936507937,110225.75,1492762,113817399.80999999,53.7392,6.84895,0000-00-00,4,False,Specialized Retail,C. Cyclical,XLY,305,266
2026-08-11,NOK,buy-first puke,,,45.83333333333333,9.46,-5.020080321285136,-15.535714285714274,-21.864675564953096,-33.16031006993302,4.590163934426229,50.78,59.061099999999996,-2.397100000000002,69.84126984126983,2.6177000000000064,23.015873015873016,10.092100000000002,10.774500000000018,29.365079365079364,1.937400000000011,65.07936507936508,33.333333333333336,61.507936507936506,222893.95,3691383,874612239.3800001,68.8963,4.12705,0000-00-00,10,False,Communications Equipment Manufacturing,Technology,XLK,305,266
2026-08-11,STX,buy-first puke,,,44.62301587301587,820.75,-4.333686897532429,-10.1660409574992,-7.731882735007978,-2.460776684314525,36.0655737704918,60.73,74.715,3.5996999999999986,61.111111111111114,-1.5827000000000027,29.761904761904763,-2.6704000000000008,-0.6088999999999913,33.333333333333336,3.6547000000000054,55.15873015873016,48.41269841269841,55.15873015873016,28334.8,261298,4496100247.21,98.5353,8.24051,0000-00-00,11,False,Computer Hardware Manufacturing,Technology,XLK,305,266
2026-08-11,MELI,buy-first standard,good,,50.87301587301587,1938.95,3.2619694306864844,0.0,10.488343720493187,23.671557332739976,83.27868852459017,32.2,33.5075,4.171299999999999,72.61904761904762,-1.9359999999999964,27.77777777777778,-0.6734000000000009,0.19760000000000133,63.492063492063494,2.2706000000000017,57.93650793650794,63.095238095238095,23.80952380952381,6350.1,60228,759200915.3399999,94.7115,7.38097,0000-00-00,12,False,E-commerce & Internet Retail,C. Cyclical,XLY,305,266
2026-08-11,FANG,sell-first,,grab,53.1547619047619,202.21,5.45501955671448,-1.7778209549715873,5.673144357427251,2.1350836610164903,48.52459016393443,53.12,34.7059,0.4812000000000012,5.9523809523809526,0.3160999999999987,82.14285714285714,2.227000000000004,4.894399999999997,87.6984126984127,3.0885999999999925,87.6984126984127,3.9682539682539684,40.87301587301587,2342.55,74779,392010694.0,85.2588,2.80258,0000-00-00,11,False,Oil & Gas Exploration,Energy,XLE,305,266
2026-08-12,XPEV,buy-first puke,good,,68.03571428571429,11.73,-0.3398470688190214,-16.98513800424628,-12.73100616016426,-29.48066477641511,5.573770491803279,47.13,61.0202,0.5658999999999921,82.53968253968254,0.19019999999999726,4.365079365079365,0.758899999999997,12.735300000000002,45.23809523809524,-1.7518999999999991,44.04761904761905,42.06349206349206,3.9682539682539684,21682.6,594492,78721061.76,50.9749,10.14598,0000-00-00,1,True,Automobile Manufacturing,C. Cyclical,XLY,305,260
2026-08-12,M,buy-first puke,,,58.96825396825397,23.78,-7.470817120622564,-9.236641221374043,-1.0403662089055299,26.160383672852518,85.57377049180329,61.59,54.396699999999996,5.645000000000003,90.47619047619048,-2.4694000000000003,1.5873015873015872,-3.00119999999999,3.754400000000004,34.523809523809526,0.6059999999999945,48.80952380952381,7.5396825396825395,69.44444444444444,6973.3,163557,114283134.76,74.8069,10.18988,0000-00-00,3,False,Department Store Retail,C. Cyclical,XLY,305,260
