variant,ticker,signal_date,expiry,strike,leg,historical_quote_listing_status,source_path,deliverables_status
original,MO,2026-06-11,2026-06-18,75.0,near,exact_tuple_present,/Users/dgrissen/Dev/delta_bomb/data/pandar_hypothesis_2026-09-07/theta/option_list_contracts/94243504850e3372e7e368fae8b0110a09eefbf20e7dfd2c3dbf62f8220f20d8.parquet,unverified
original,NET,2026-06-11,2026-06-18,270.0,far,exact_tuple_present,/Users/dgrissen/Dev/delta_bomb/data/pandar_hypothesis_2026-09-07/theta/option_list_contracts/2f3424ab5db34f1323c596032582cb4d19733ac0fd1c7ea5ad6f76bc905a55af.parquet,unverified
original,NET,2026-06-11,2026-06-18,267.5,near,exact_tuple_present,/Users/dgrissen/Dev/delta_bomb/data/pandar_hypothesis_2026-09-07/theta/option_list_contracts/2f3424ab5db34f1323c596032582cb4d19733ac0fd1c7ea5ad6f76bc905a55af.parquet,unverified
original,PLTR,2026-06-11,2026-06-18,152.5,far,exact_tuple_present,/Users/dgrissen/Dev/delta_bomb/data/pandar_hypothesis_2026-09-07/theta/option_list_contracts/2f3424ab5db34f1323c596032582cb4d19733ac0fd1c7ea5ad6f76bc905a55af.parquet,unverified
original,PLTR,2026-06-11,2026-06-18,150.0,near,exact_tuple_present,/Users/dgrissen/Dev/delta_bomb/data/pandar_hypothesis_2026-09-07/theta/option_list_contracts/2f3424ab5db34f1323c596032582cb4d19733ac0fd1c7ea5ad6f76bc905a55af.parquet,unverified
original,RBLX,2026-06-11,2026-06-18,50.0,far,exact_tuple_present,/Users/dgrissen/Dev/delta_bomb/data/pandar_hypothesis_2026-09-07/theta/option_list_contracts/2f3424ab5db34f1323c596032582cb4d19733ac0fd1c7ea5ad6f76bc905a55af.parquet,unverified
original,RBLX,2026-06-11,2026-06-18,49.0,near,exact_tuple_present,/Users/dgrissen/Dev/delta_bomb/data/pandar_hypothesis_2026-09-07/theta/option_list_contracts/2f3424ab5db34f1323c596032582cb4d19733ac0fd1c7ea5ad6f76bc905a55af.parquet,unverified
original,RF,2026-06-11,2026-06-18,31.0,far,exact_tuple_present,/Users/dgrissen/Dev/delta_bomb/data/pandar_hypothesis_2026-09-07/theta/option_list_contracts/2f3424ab5db34f1323c596032582cb4d19733ac0fd1c7ea5ad6f76bc905a55af.parquet,unverified
original,RF,2026-06-11,2026-06-18,30.0,near,exact_tuple_present,/Users/dgrissen/Dev/delta_bomb/data/pandar_hypothesis_2026-09-07/theta/option_list_contracts/2f3424ab5db34f1323c596032582cb4d19733ac0fd1c7ea5ad6f76bc905a55af.parquet,unverified
original,SPOT,2026-06-11,2026-06-18,552.5,far,exact_tuple_present,/Users/dgrissen/Dev/delta_bomb/data/pandar_hypothesis_2026-09-07/theta/option_list_contracts/2f3424ab5db34f1323c596032582cb4d19733ac0fd1c7ea5ad6f76bc905a55af.parquet,unverified
original,SPOT,2026-06-11,2026-06-18,550.0,near,exact_tuple_present,/Users/dgrissen/Dev/delta_bomb/data/pandar_hypothesis_2026-09-07/theta/option_list_contracts/2f3424ab5db34f1323c596032582cb4d19733ac0fd1c7ea5ad6f76bc905a55af.parquet,unverified
original,T,2026-06-11,2026-06-18,25.0,far,exact_tuple_present,/Users/dgrissen/Dev/delta_bomb/data/pandar_hypothesis_2026-09-07/theta/option_list_contracts/2f3424ab5db34f1323c596032582cb4d19733ac0fd1c7ea5ad6f76bc905a55af.parquet,unverified
original,T,2026-06-11,2026-06-18,24.5,near,exact_tuple_present,/Users/dgrissen/Dev/delta_bomb/data/pandar_hypothesis_2026-09-07/theta/option_list_contracts/2f3424ab5db34f1323c596032582cb4d19733ac0fd1c7ea5ad6f76bc905a55af.parquet,unverified
original,TWLO,2026-06-11,2026-06-18,252.5,far,exact_tuple_present,/Users/dgrissen/Dev/delta_bomb/data/pandar_hypothesis_2026-09-07/theta/option_list_contracts/2f3424ab5db34f1323c596032582cb4d19733ac0fd1c7ea5ad6f76bc905a55af.parquet,unverified
original,TWLO,2026-06-11,2026-06-18,250.0,near,exact_tuple_present,/Users/dgrissen/Dev/delta_bomb/data/pandar_hypothesis_2026-09-07/theta/option_list_contracts/2f3424ab5db34f1323c596032582cb4d19733ac0fd1c7ea5ad6f76bc905a55af.parquet,unverified
original,VST,2026-06-11,2026-06-18,172.5,far,exact_tuple_present,/Users/dgrissen/Dev/delta_bomb/data/pandar_hypothesis_2026-09-07/theta/option_list_contracts/2f3424ab5db34f1323c596032582cb4d19733ac0fd1c7ea5ad6f76bc905a55af.parquet,unverified
original,VST,2026-06-11,2026-06-18,170.0,near,exact_tuple_present,/Users/dgrissen/Dev/delta_bomb/data/pandar_hypothesis_2026-09-07/theta/option_list_contracts/2f3424ab5db34f1323c596032582cb4d19733ac0fd1c7ea5ad6f76bc905a55af.parquet,unverified
original,ZIM,2026-06-11,2026-06-18,29.5,far,exact_tuple_present,/Users/dgrissen/Dev/delta_bomb/data/pandar_hypothesis_2026-09-07/theta/option_list_contracts/2f3424ab5db34f1323c596032582cb4d19733ac0fd1c7ea5ad6f76bc905a55af.parquet,unverified
original,ZIM,2026-06-11,2026-06-18,29.16,near,exact_tuple_present,/Users/dgrissen/Dev/delta_bomb/data/pandar_hypothesis_2026-09-07/theta/option_list_contracts/2f3424ab5db34f1323c596032582cb4d19733ac0fd1c7ea5ad6f76bc905a55af.parquet,unverified
original,BKNG,2026-06-12,2026-06-26,195.0,far,exact_tuple_present,/Users/dgrissen/Dev/delta_bomb/data/pandar_hypothesis_2026-09-07/theta/option_list_contracts/63d920a04a7643d7a716aa0928a8096aac488ccc62a694256bd4fa12c7879bfd.parquet,unverified
original,BKNG,2026-06-12,2026-06-26,190.0,near,exact_tuple_present,/Users/dgrissen/Dev/delta_bomb/data/pandar_hypothesis_2026-09-07/theta/option_list_contracts/63d920a04a7643d7a716aa0928a8096aac488ccc62a694256bd4fa12c7879bfd.parquet,unverified
original,CAT,2026-06-12,2026-06-26,1040.0,far,exact_tuple_present,/Users/dgrissen/Dev/delta_bomb/data/pandar_hypothesis_2026-09-07/theta/option_list_contracts/63d920a04a7643d7a716aa0928a8096aac488ccc62a694256bd4fa12c7879bfd.parquet,unverified
original,CAT,2026-06-12,2026-06-26,1030.0,near,exact_tuple_present,/Users/dgrissen/Dev/delta_bomb/data/pandar_hypothesis_2026-09-07/theta/option_list_contracts/63d920a04a7643d7a716aa0928a8096aac488ccc62a694256bd4fa12c7879bfd.parquet,unverified
