tradeDate,ticker,scenario,buy_surface_tier,sell_archetype,ranking_score,stockPrice,return_5d_pct,drawdown_20d_pct,extension_50d_pct,relative_return_63d_pct,rs63_cross_section_pct,ivRank1y,iv30d,rr25,rr25_pct252,callskew,callskew_pct252,call_wing_30,call_wing_10,call_wing_10_pct252,call_kink,call_kink_pct252,put_wing_10_pct252,iv10d_pct252,avgOptVolu20d,oi,dollar_stock_volume,confidence_core,mktWidthVol,nextErn,wksNextErn,earnings_near_front_expiry,sector,sectorName,bestEtf,universe_size,liquid_universe_size
2026-08-12,XPEV,buy-first puke,good,,68.03571428571429,11.73,-0.3398470688190214,-16.98513800424628,-12.73100616016426,-29.48066477641511,5.1513542219861925,47.13,61.0202,0.5658999999999921,82.53968253968254,0.19019999999999726,4.365079365079365,0.758899999999997,12.735300000000002,45.23809523809524,-1.7518999999999991,44.04761904761905,42.06349206349206,3.9682539682539684,21682.6,594492,78721061.76,50.9749,10.14598,0000-00-00,1,True,Automobile Manufacturing,C. Cyclical,XLY,1883,525
2026-08-12,M,buy-first puke,,,58.96825396825397,23.78,-7.470817120622564,-9.236641221374043,-1.0403662089055299,26.160383672852518,83.48380244291025,61.59,54.396699999999996,5.645000000000003,90.47619047619048,-2.4694000000000003,1.5873015873015872,-3.00119999999999,3.754400000000004,34.523809523809526,0.6059999999999945,48.80952380952381,7.5396825396825395,69.44444444444444,6973.3,163557,114283134.76,74.8069,10.18988,0000-00-00,3,False,Department Store Retail,C. Cyclical,XLY,1883,525
2026-08-12,AEO,buy-first puke,,,49.920634920634924,16.31,-9.187082405345226,-11.262241566920572,-5.865106024402333,1.8981435655419876,48.27403080191184,57.67,73.9425,11.140900000000002,99.2063492063492,-5.022099999999995,0.0,-6.658299999999997,7.612800000000007,32.142857142857146,-6.128399999999992,24.603174603174605,49.20634920634921,26.984126984126984,5508.15,97765,71591789.36,56.2649,21.11498,0000-00-00,3,False,Apparel Retail Stores,C. Cyclical,XLY,1883,525
2026-08-12,BTDR,buy-first puke,,,48.39285714285714,9.03,-19.23076923076923,-27.236099919419832,-35.676430362434466,-32.356099843631,3.8767923526287835,41.04,103.763,2.6769999999999925,86.9047619047619,0.49900000000000944,5.9523809523809526,6.895999999999987,23.361000000000004,66.26984126984127,12.830000000000013,70.63492063492063,24.603174603174605,20.634920634920636,42958.5,471696,101010387.5,72.0589,23.22489,0000-00-00,12,False,Application Software,Technology,XLK,1883,525
2026-08-12,VFC,buy-first puke,,,48.3531746031746,14.69,-3.6721311475409912,-19.10792951541851,-10.732732951714263,-19.242626015871465,11.73659054699947,0.0,40.617399999999996,5.189399999999999,88.88888888888889,-0.8570999999999955,10.714285714285714,3.4000000000000057,2.016300000000001,10.317460317460318,0.12160000000000082,38.888888888888886,5.158730158730159,2.380952380952381,12389.2,593307,128083790.38,51.6878,11.17958,0000-00-00,10,False,Apparel & Textile Manufacturing,C. Cyclical,XLY,1883,525
2026-08-12,FOUR,buy-first puke,,,47.242063492063494,43.41,-18.448243471726467,-22.34347048300537,-6.144599152469066,3.3329611563297723,51.93839617631439,59.72,56.1617,4.071100000000001,77.77777777777777,-1.3712999999999909,10.714285714285714,0.217800000000004,0.217800000000004,13.095238095238095,0.0,21.03174603174603,45.63492063492063,38.888888888888886,2170.85,93280,61198396.56,50.4869,4.92081,0000-00-00,12,False,Infrastructure Software,Industrials,XLI,1883,525
2026-08-12,SYM,buy-first puke,,,47.083333333333336,41.35,-11.55080213903743,-12.965691433382442,-2.7228200266306457,-21.993466696187724,9.399893786510887,0.0,55.956700000000005,4.420100000000005,82.93650793650794,-0.3855000000000075,24.206349206349206,8.369699999999987,9.561100000000003,66.66666666666667,0.4954000000000036,53.17460317460318,21.03174603174603,0.7936507936507936,5072.65,79282,69240669.74,78.1029,12.5646,0000-00-00,13,False,Specialized Industrial Equipment,Industrials,XLI,1883,525
2026-08-12,STUB,buy-first puke,,,46.43540669856459,8.52,-6.783369803063466,-10.691823899371066,-17.297612114152592,13.715382107796371,69.30430164630909,9.9,87.4541,7.250699999999995,79.42583732057416,-1.1723999999999961,30.14354066985646,5.958200000000005,-1.595000000000013,28.229665071770334,27.821699999999993,88.99521531100478,7.177033492822966,83.2535885167464,8083.95,137263,42752619.0,55.7302,28.80211,0000-00-00,13,False,Internet Content & Media,Comm,XLC,1883,525
2026-08-12,LCID,buy-first puke,,,44.82142857142857,6.5,-1.9607843137254832,-20.14742014742015,5.198420405256687,5.814063326532159,56.558682952735,13.33,79.6396,2.0656000000000034,60.317460317460316,1.3295999999999992,24.206349206349206,7.934799999999996,27.62859999999999,70.23809523809524,22.156599999999997,89.28571428571429,22.22222222222222,49.6031746031746,57352.15,760027,170792795.4,51.3669,16.16843,0000-00-00,12,False,Automobile Manufacturing,C. Cyclical,XLY,1883,525
2026-08-12,NUAI,buy-first standard,better,,74.02777777777777,5.58,7.514450867052025,-3.626943005181349,8.0683270713096,10.895364139540309,65.48061603823686,32.85,172.142,20.575999999999993,93.88888888888889,-9.174999999999983,7.222222222222222,-11.0,1.799999999999983,40.0,29.694999999999993,93.88888888888889,39.44444444444444,80.55555555555556,15264.85,287260,34512623.56,50.5548,47.51067,0000-00-00,0,True,Infrastructure Software,Energy,XLE,1883,525
