tradeDate,scenario,signal_data_status,surface_count,exact_chain_count,surface_tickers,exact_chain_tickers
2026-08-28,buy-first put-tail inventory,evaluated,107,7,"AA,AAL,AAP,AFRM,ALB,AMD,ANET,APA,APO,APP,ARM,ASML,AVGO,AXP,BA,BAC,BE,BMNR,BMY,BTU,BX,C,CCJ,CCL,CEG,CELH,CMG,COP,COST,CRDO,CRWV,CVNA,DAL,DIS,EBAY,ENPH,ETSY,EXPE,F,FDX,FHN,FSLR,GE,GILD,GOOG,GOOGL,GS,HOOD,IBM,INOD,IONQ,IREN,JPM,LLY,LUV,LVS,LYFT,MA,MRNA,MRVL,MS,MU,NBIS,NCLH,NEE,NVDA,NVO,OKLO,ON,ONON,OXY,PEP,PG,PINS,PYPL,QCOM,RBLX,RCL,RIOT,RIVN,RTX,RUN,SBUX,SCHW,SE,SEDG,SHOP,SOFI,T,TFC,TGT,TOST,TSM,TXN,UAL,UBER,UNH,UPS,UPST,VRT,VST,W,WFC,WMT,WULF,WYNN,XYZ","BMNR,CRWV,CVNA,GOOGL,HOOD,MRVL,NVDA"
2026-08-31,sell-first call grab,evaluated,1,1,MSTR,MSTR
2026-08-31,buy-first put-tail inventory,evaluated,110,12,"AAL,ABNB,AFRM,AG,ALAB,ALB,AMAT,AMD,AMZN,ANET,APA,APLD,APO,APP,ARM,ASML,AVGO,AXP,BA,BAC,BE,BMNR,BMY,BTU,BX,C,CCJ,CCL,CEG,CELH,CIFR,CMG,COST,CRDO,CRWV,CVNA,CVS,DAL,DASH,DIS,ETSY,EXPE,FSLR,GE,GILD,GOOG,GOOGL,GS,HOOD,IBM,IONQ,IREN,JPM,LEN,LLY,LUV,LVS,M,MA,MARA,MRVL,MS,MU,NBIS,NCLH,NEE,NVDA,OKLO,ON,ONON,PEP,PG,PINS,PLTR,PYPL,QCOM,QUBT,RCL,RDDT,RIOT,RIVN,RTX,RUN,SBUX,SCHW,SE,SEDG,SHOP,SOFI,SPOT,T,TEVA,TGT,TOST,TSM,TXN,UAL,UNH,UPS,V,VFC,VRT,VST,W,WFC,WMT,WULF,WYNN,XPEV,XYZ","AMZN,BE,BMNR,CRWV,GOOG,GOOGL,HOOD,MRVL,NVDA,OKLO,PLTR,SHOP"
2026-09-01,sell-first call grab,evaluated,0,0,,
2026-09-01,buy-first put-tail inventory,evaluated,96,6,"AA,AAL,AAP,ABNB,AFRM,AG,ALAB,ALB,AMAT,AMZN,ANET,APA,APO,APP,ASML,AVGO,AXP,BA,BAC,BE,BILI,BMNR,BMY,BTU,BX,C,CART,CCJ,CCL,CELH,CIFR,CLF,CRDO,CVNA,DAL,DASH,DIS,EBAY,ENPH,ETSY,F,FDX,FSLR,GAP,GE,GM,GOOG,GOOGL,HOOD,JPM,LEN,LMT,LUV,M,MRVL,MU,NBIS,NCLH,ON,ONON,PEP,PINS,PYPL,QCOM,QUBT,RBLX,RCL,RH,RIVN,RTX,RUN,SBUX,SCHW,SE,SHOP,SMR,SOFI,SPOT,T,TFC,TGT,TOST,TSM,TXN,UAL,UPS,UPST,V,VFC,VST,W,WFC,WMT,WULF,WYNN,XYZ","AMZN,BMNR,CVNA,GOOGL,HOOD,MRVL"
2026-09-02,sell-first call grab,evaluated,0,0,,
2026-09-02,buy-first put-tail inventory,evaluated,99,11,"AA,AAL,AAP,ABNB,AFRM,ALB,AMAT,AMD,AMZN,ANET,APA,APO,APP,ARM,AVGO,AXP,BA,BAC,BB,BE,BILI,BMNR,BMY,BTU,BX,C,CCJ,CCL,CELH,CIFR,CMCSA,CRDO,CRWV,CVNA,CVS,DAL,DIS,ETSY,FDX,FSLR,GAP,GE,GM,GOOG,GOOGL,HIMS,IREN,JPM,LMT,LRCX,M,MA,MDB,MMM,MRNA,MRVL,MU,NBIS,NCLH,NEE,NEM,NVDA,OKLO,ONON,OXY,PDD,PEP,PG,PINS,PYPL,RBLX,RCL,RIOT,RIVN,RTX,RUN,SBUX,SCHW,SE,SHOP,SOFI,T,TFC,TOST,TSM,TXN,UAL,UPS,UPST,V,VFC,VRT,VST,W,WFC,WMT,WULF,WYNN,XYZ","AMZN,ANET,BE,BMNR,CRWV,GOOG,GOOGL,IREN,MRVL,NVDA,SOFI"
2026-09-03,sell-first call grab,evaluated,1,1,MSTR,MSTR
2026-09-03,buy-first put-tail inventory,evaluated,106,10,"AA,AAL,AAP,AFRM,ALB,AMAT,AMD,AMZN,ANET,APO,APP,ARM,ASML,AVGO,AXP,BA,BAC,BE,BMNR,BMY,BTU,BX,C,CART,CCJ,CCL,CEG,CELH,CIFR,COST,CRDO,CRSP,CRWV,CVNA,CVS,DAL,DASH,DIS,EBAY,ENPH,ETSY,FDX,FSLR,GAP,GE,GILD,GM,GOOG,GOOGL,HIMS,IONQ,JPM,LEN,LMND,LMT,LUV,LVS,M,MA,MDB,MMM,MRNA,MRVL,MSFT,MU,NBIS,NCLH,NEE,NVDA,OKLO,ON,ONON,OXY,PEP,PINS,QUBT,RBLX,RCL,RGTI,RIOT,RIVN,RTX,RUN,SCHW,SEDG,SHOP,SNOW,T,TFC,TGT,TOST,TSM,TXN,UAL,UNH,UPS,UPST,VFC,VRT,VST,W,WFC,WMT,WULF,WYNN,XYZ","AMZN,BE,BMNR,CRWV,GOOG,MRVL,MSFT,NBIS,NVDA,RTX"
2026-09-04,sell-first call grab,provider_unavailable,0,0,,
2026-09-04,buy-first put-tail inventory,provider_unavailable,0,0,,
