tradeDate,ticker,scenario,buy_surface_tier,sell_archetype,buy_first_put_tail_inventory,ranking_score,stockPrice,return_5d_pct,drawdown_20d_pct,extension_50d_pct,relative_return_63d_pct,rs63_cross_section_pct,ivRank1y,iv30d,rr25,rr25_pct252,callskew,callskew_pct252,putskew,putskew_pct252,call_wing_30,call_wing_10,call_wing_10_pct252,call_kink,call_kink_pct252,put_wing_10_pct252,iv10d_pct252,avgOptVolu20d,oi,dollar_stock_volume,confidence_core,mktWidthVol,nextErn,wksNextErn,earnings_near_front_expiry,sector,sectorName,bestEtf,universe_size,liquid_universe_size,chain_confirmed,failure_reason,option_side,expiry,dte,leg1_action,leg1_strike,leg1_delta,leg1_bid,leg1_ask,leg1_oi,leg1_volume,leg2_action,leg2_strike,leg2_bid,leg2_ask,leg2_oi,leg2_volume,spread_width,entry_cash,target_leg2_price,contract_wing_iv_points,event_inside_expiry,long_otm_pct,selection_distance
2026-09-03,CRWV,buy-first put-tail inventory,,,True,59.729682539682535,84.68,-2.296065535940917,-21.614366379709335,-1.4427441468535696,-18.218907037497654,17.01388888888889,2.81,69.2854,-1.2347000000000037,7.936507936507937,1.169300000000007,86.9047619047619,-0.0653999999999968,4.365079365079365,8.174500000000009,9.270499999999998,82.93650793650794,-3.451599999999999,18.650793650793652,5.9523809523809526,0.0,225467.55,2227554,2132682332.05,95.0058,1.84539,0000-00-00,9,False,Infrastructure Software,Technology,XLK,288,250,True,,put,2026-09-18,16.0,BTO,47.5,0.9996510876019196,0.01,0.03,1265.0,36.0,STO,42.5,0.01,0.04,412.0,4.0,5.0,0.019999999999999997,,,False,43.90647142182333,11.406471421823333
2026-09-03,BE,buy-first put-tail inventory,,,True,50.963968253968254,235.26,8.011569716725585,-1.321253303133263,3.1268575195899873,-15.876110913694,19.09722222222222,7.29,84.94850000000001,-4.2446000000000055,15.873015873015872,3.112899999999996,83.33333333333333,-1.1317000000000093,17.857142857142858,7.20529999999998,9.418999999999995,75.0,11.654200000000005,81.74603174603175,9.126984126984128,10.317460317460318,112203.45,977739,2549123310.72,93.6728,3.94443,0000-00-00,7,False,Electrical Equipment Manufacturing,Industrials,XLI,288,250,True,,put,2026-09-18,16.0,BTO,135.0,0.9977211481573306,0.08,0.14,2683.0,16.0,STO,130.0,0.1,0.12,1877.0,30.0,5.0,0.04000000000000001,,,False,42.61667941851568,10.11667941851568
2026-09-03,NVDA,buy-first put-tail inventory,,,True,49.98952380952381,229.03,0.2977884825925203,0.0,9.126757234775717,7.468647840348296,57.291666666666664,8.82,32.217600000000004,1.3764000000000038,13.88888888888889,0.0250999999999947,88.0952380952381,1.4014999999999986,17.063492063492063,2.4142999999999972,2.0600999999999985,61.507936507936506,-2.2845000000000013,36.111111111111114,34.92063492063492,5.158730158730159,3290792.75,15497110,28429337090.05,97.3662,0.4992,0000-00-00,10,False,Semiconductors,Technology,XLK,288,250,True,,put,2026-09-18,16.0,BTO,155.0,0.9990255699159151,0.07,0.09,22294.0,4.0,STO,150.0,0.07,0.08,36238.0,844.0,5.0,0.01999999999999999,,,False,32.323276426669004,0.17672357333099598
2026-09-03,GOOG,buy-first put-tail inventory,,,True,44.40904761904762,339.95,0.6841606444734083,-4.0123108199683895,-2.0144186813351395,-4.5505344278240045,32.29166666666667,18.21,27.4393,0.0706999999999986,7.936507936507937,0.272000000000002,80.15873015873017,0.3427000000000006,3.968253968253968,2.431499999999996,3.2149000000000036,65.87301587301587,-1.4910999999999923,32.142857142857146,20.634920634920636,6.746031746031746,147377.0,1795477,5340445286.879999,98.6267,1.51394,0000-00-00,7,False,Internet Content & Media,Comm,XLC,288,250,True,,put,2026-09-18,16.0,BTO,240.0,0.9993591646146227,0.03,0.05,2578.0,102.0,STO,235.0,0.01,0.08,2530.0,2.0,5.0,0.04,,,False,29.40138255625827,3.0986174437417304
2026-09-03,NBIS,buy-first put-tail inventory,,,True,41.82587301587302,210.97,-2.414542763310046,-22.78383720079058,-1.3033552274555935,-16.11091443713587,18.75,16.19,79.3713,-2.405200000000008,20.634920634920636,1.7783999999999909,74.2063492063492,-0.6268000000000171,14.285714285714286,9.749300000000003,12.000099999999987,82.53968253968254,-2.9867000000000132,26.984126984126984,15.07936507936508,4.761904761904762,223183.7,1366961,4594071614.52,95.8381,4.10524,0000-00-00,9,False,Internet Content & Media,Technology,XLK,288,250,True,,put,2026-09-18,16.0,BTO,125.0,0.9971007379266814,0.11,0.14,1172.0,4.0,STO,120.0,0.08,0.13,4606.0,8.0,5.0,0.06000000000000001,,,False,40.74986964971323,8.249869649713233
2026-09-03,BMNR,buy-first put-tail inventory,,,True,41.49920634920635,26.37,1.6184971098266,0.0,44.60725174932551,50.74785639543337,98.26388888888889,14.85,79.7394,-4.927400000000006,24.20634920634921,3.3233000000000033,61.111111111111114,-1.6041000000000023,19.047619047619047,24.0946,15.351700000000008,42.857142857142854,-12.061499999999995,18.253968253968253,9.523809523809524,15.07936507936508,163290.55,1587956,910719441.26,75.472,5.90741,0000-00-00,11,False,Investment Banking & Brokerage,Financials,XLF,288,250,True,,put,2026-09-18,16.0,BTO,19.0,0.969462430649725,0.05,0.07,2179.0,3644.0,STO,14.0,0.02,0.03,7560.0,2204.0,5.0,0.05,,,False,27.948426241941604,4.551573758058396
2026-09-03,RTX,buy-first put-tail inventory,,,True,39.1552380952381,201.67,-4.719833695549469,-10.129233511586456,-2.7674654066824345,15.897977560643472,71.52777777777779,23.94,23.0201,0.8018000000000001,5.9523809523809526,-0.0853999999999999,71.82539682539682,0.7164000000000001,3.5714285714285716,1.4995000000000012,0.7454000000000001,21.825396825396822,-1.9204000000000008,18.650793650793652,8.73015873015873,19.84126984126984,12921.0,178313,850032247.0,75.8929,2.89624,0000-00-00,6,False,Aerospace & Defense Manufacturing,Industrials,XLI,288,250,True,,put,2026-09-18,16.0,BTO,120.0,0.9998137963967719,0.01,0.04,199.0,9.0,STO,115.0,0.01,0.07,83.0,145.0,5.0,0.03,,,False,40.49685129171419,7.9968512917141865
2026-09-03,MRVL,buy-first put-tail inventory,,,True,36.156349206349205,209.25,-13.303778588001336,-16.175940391779832,-5.653656715475774,-30.634152040894747,9.375,23.05,56.1683,-2.4251000000000076,15.476190476190476,1.7679000000000045,80.95238095238095,-0.6572000000000031,13.492063492063492,8.948000000000008,10.8994,79.36507936507937,1.0570999999999913,44.44444444444444,8.333333333333334,22.22222222222222,198596.4,1819795,4857055262.96,97.3641,2.87458,0000-00-00,12,False,Semiconductors,Technology,XLK,288,250,True,,put,2026-09-18,16.0,BTO,125.0,0.9999547319950463,0.01,0.06,3271.0,0.0,STO,120.0,0.01,0.03,5383.0,8.0,5.0,0.049999999999999996,,,False,40.262843488649935,7.762843488649935
2026-09-03,AMZN,buy-first put-tail inventory,,,True,25.805873015873015,259.1,0.8642167549050228,-6.610438292964238,2.2513449347107084,5.393133145174788,52.083333333333336,32.21,28.7129,0.5263999999999989,14.682539682539682,0.3095999999999996,88.4920634920635,0.8359999999999985,20.238095238095237,1.8304999999999971,2.7214000000000027,73.41269841269842,-1.2061999999999955,36.507936507936506,6.746031746031746,13.88888888888889,752204.4,4594483,8524309049.299999,96.5819,0.98234,0000-00-00,8,False,E-commerce & Internet Retail,C. Cyclical,XLY,288,250,True,,put,2026-09-18,16.0,BTO,190.0,0.999942202104693,0.04,0.05,14792.0,1.0,STO,185.0,0.03,0.04,6267.0,6.0,5.0,0.020000000000000004,,,False,26.66923967580086,5.83076032419914
2026-09-03,MSFT,buy-first put-tail inventory,,,True,24.931111111111115,510.75,1.148628577086841,-0.5336033807863849,15.660486482838776,22.593170968640607,82.29166666666666,31.18,23.8785,0.4192999999999998,23.015873015873016,0.1956000000000024,75.0,0.6149000000000022,21.428571428571427,1.2704000000000022,1.6255999999999986,59.523809523809526,-1.3002000000000002,37.698412698412696,11.904761904761903,23.41269841269841,522592.75,3908642,12171332846.32,97.019,0.87303,0000-00-00,7,False,Infrastructure Software,Technology,XLK,288,250,True,,put,2026-09-18,16.0,BTO,350.0,0.9999660378567611,0.02,0.04,12678.0,262.0,STO,345.0,0.01,0.06,1142.0,0.0,5.0,0.03,,,False,31.473323543808128,1.026676456191872
2026-09-03,MSTR,sell-first call grab,,grab,False,52.97619047619048,143.41,4.625373896549201,0.0,39.88162586907835,13.512174894323024,69.44444444444444,50.41,76.2506,-10.199500000000016,0.0,6.1404,99.6031746031746,-4.059100000000015,0.0,17.933399999999992,21.905,90.47619047619048,4.291800000000009,78.57142857142857,0.0,64.28571428571429,516565.55,2734416,3116412083.14,95.088,2.98672,0000-00-00,8,False,Application Software,Technology,XLK,288,250,True,,call,2026-09-11,9.0,STO,190.0,0.03442508882573573,0.25,0.31,43.0,220.0,BTO,185.0,0.34,0.41,930.0,409.0,5.0,0.25,0.15,24.034736114318477,False,,
