tradeDate,ticker,call_wing_10_pct252,wing_rank,difference_points
2026-08-11,SMCI,98.41269841269842,98.41269841269842,0.0
2026-08-12,AAPL,97.61904761904762,97.61904761904762,0.0
2026-08-12,GOOG,89.28571428571429,89.28571428571429,0.0
2026-08-12,HOOD,92.06349206349206,91.66666666666667,-0.39682539682539186
2026-08-12,META,87.6984126984127,87.6984126984127,0.0
2026-08-12,TSLA,87.3015873015873,87.3015873015873,0.0
2026-08-12,W,86.5079365079365,86.5079365079365,0.0
2026-08-13,AAPL,88.4920634920635,88.4920634920635,0.0
2026-08-13,CSCO,97.61904761904762,97.61904761904762,0.0
2026-08-13,JNJ,88.0952380952381,88.0952380952381,0.0
2026-08-13,NOW,87.3015873015873,86.9047619047619,-0.3968253968254061
2026-08-13,SMCI,94.84126984126983,94.84126984126983,0.0
2026-08-13,TSLA,86.9047619047619,86.9047619047619,0.0
2026-08-14,AAPL,90.47619047619048,90.47619047619048,0.0
2026-08-14,CSCO,93.65079365079364,93.65079365079364,0.0
2026-08-14,DELL,88.88888888888889,88.88888888888889,0.0
2026-08-14,FCX,88.88888888888889,88.88888888888889,0.0
2026-08-14,MCD,89.68253968253968,89.68253968253968,0.0
2026-08-17,AMAT,86.5079365079365,86.5079365079365,0.0
2026-08-17,CSCO,87.3015873015873,87.3015873015873,0.0
2026-08-17,DELL,85.71428571428571,85.71428571428571,0.0
2026-08-17,GOOG,86.9047619047619,86.9047619047619,0.0
2026-08-17,LRCX,92.85714285714286,92.85714285714286,0.0
2026-08-17,MCD,91.66666666666669,91.66666666666667,-1.4210854715202004e-14
2026-08-18,AVGO,86.11111111111111,86.11111111111111,0.0
2026-08-18,BX,91.26984126984128,91.26984126984127,-1.4210854715202004e-14
2026-08-18,TSLA,85.31746031746032,85.31746031746032,0.0
2026-08-19,AVGO,93.65079365079364,93.65079365079364,0.0
2026-08-19,COIN,88.88888888888889,88.88888888888889,0.0
2026-08-19,META,88.0952380952381,88.0952380952381,0.0
2026-08-19,MSTR,92.06349206349206,92.06349206349206,0.0
2026-08-19,TSLA,86.5079365079365,86.5079365079365,0.0
2026-08-20,AVGO,93.65079365079364,93.65079365079364,0.0
2026-08-20,COIN,98.41269841269842,98.41269841269842,0.0
2026-08-20,CSCO,86.11111111111111,86.11111111111111,0.0
2026-08-20,MRNA,98.41269841269842,98.41269841269842,0.0
2026-08-20,MSTR,96.42857142857144,96.42857142857143,-1.4210854715202004e-14
2026-08-20,WMT,99.6031746031746,99.60317460317461,1.4210854715202004e-14
2026-08-21,AVGO,94.04761904761904,94.04761904761905,1.4210854715202004e-14
2026-08-21,BABA,90.47619047619048,90.47619047619048,0.0
2026-08-21,COIN,97.22222222222224,97.22222222222223,-1.4210854715202004e-14
2026-08-21,HOOD,88.88888888888889,88.4920634920635,-0.39682539682539186
2026-08-21,MRNA,98.015873015873,98.01587301587301,1.4210854715202004e-14
2026-08-21,MSTR,97.22222222222224,97.22222222222223,-1.4210854715202004e-14
2026-08-21,TEM,92.06349206349206,92.06349206349206,0.0
2026-08-21,TSLA,86.11111111111111,86.11111111111111,0.0
2026-08-24,JNJ,93.25396825396824,93.25396825396825,1.4210854715202004e-14
2026-08-24,MRNA,97.22222222222224,97.22222222222223,-1.4210854715202004e-14
2026-08-24,MSTR,94.84126984126983,94.84126984126983,0.0
2026-08-24,STX,92.46031746031746,92.46031746031746,0.0
2026-08-26,APP,88.4920634920635,88.4920634920635,0.0
2026-08-26,AVGO,96.82539682539682,96.82539682539682,0.0
2026-08-26,NVDA,94.04761904761904,94.04761904761905,1.4210854715202004e-14
2026-08-27,CVNA,90.47619047619048,90.47619047619048,0.0
2026-08-27,HOOD,86.5079365079365,86.5079365079365,0.0
2026-08-27,MSTR,96.03174603174604,96.03174603174604,0.0
2026-08-28,BE,86.9047619047619,86.9047619047619,0.0
2026-08-28,NBIS,86.11111111111111,86.11111111111111,0.0
2026-08-28,NVDA,90.07936507936508,90.07936507936508,0.0
2026-08-31,AMAT,87.6984126984127,87.6984126984127,0.0
2026-08-31,MCD,93.25396825396824,93.25396825396825,1.4210854715202004e-14
2026-08-31,MSTR,86.11111111111111,86.11111111111111,0.0
2026-09-01,GOOG,88.4920634920635,88.4920634920635,0.0
2026-09-02,AVGO,91.66666666666669,91.66666666666667,-1.4210854715202004e-14
2026-09-02,GOOG,87.3015873015873,87.3015873015873,0.0
2026-09-02,GOOGL,87.6984126984127,87.6984126984127,0.0
2026-09-02,ON,86.11111111111111,86.11111111111111,0.0
2026-09-02,TSLA,86.5079365079365,86.5079365079365,0.0
2026-09-03,AVGO,94.44444444444444,94.44444444444444,0.0
2026-09-03,CRDO,93.65079365079364,93.65079365079364,0.0
2026-09-03,MSTR,90.47619047619048,90.47619047619048,0.0
2026-09-03,VST,86.5079365079365,86.5079365079365,0.0
2026-09-03,W,88.0952380952381,88.0952380952381,0.0
