rule,mode,era,horizon,signals,valid_outcomes,censored,stocks,months,joint_down_pct,joint_ci_low,joint_ci_high,spot_down_pct,iv10_down_pct,wing_down_pct,down_vol_up_pct,mean_return_pct,median_return_pct,mean_iv10_change_points,mean_iv30_change_points,mean_wing_change_points,signal_entry_return_pct,signal_entry_iv10_points
all_eligible,all_signals,all,1,173413,172882,531,311,33,23.413657870686365,22.10934259086225,24.82984373232643,48.70142640645064,52.42130470494326,50.67155632165292,25.286611677329045,0.11890109078111866,0.049423597364428584,-0.025796520516884355,-0.018448465774343198,-0.011125626323156832,0.1068410994897181,-0.015453988095926699
all_eligible,all_signals,all,2,173413,172618,795,311,32,21.961209143889977,20.649797020228554,23.370820804033283,48.325782942682686,50.057352072205674,50.62334171407385,26.364573798792712,0.22901010726239085,0.11091085753175411,-0.046039911828430403,-0.04050098506528867,-0.02555399645459917,0.10584609929831085,-0.012891441043228398
all_eligible,all_signals,all,3,173413,172356,1057,311,32,21.231056650189142,19.976454636011375,22.571873954759756,47.986725150270374,48.66613288774397,50.59527953770103,26.755668500081224,0.34241221740517624,0.1777777777777767,-0.050983750667223666,-0.0553936953746896,-0.03411167368701989,0.1082593447278508,-0.012303200178699897
all_eligible,all_signals,2024–2025,1,128259,128251,8,308,24,22.704696259678286,21.201749454837614,23.981041805590696,48.30605609312988,51.95593016818583,50.74970175671145,25.59980039141995,0.1281608342195465,0.06369795587468641,-0.025048253502896665,-0.018877408285315513,-0.012413380246547777,0.11127287352814634,-0.026557678848507998
all_eligible,all_signals,2024–2025,2,128259,128247,12,308,24,21.296404594259517,19.845079490716692,22.787377814967357,47.79215108345614,49.81013201088524,50.65147722753749,26.49574648919663,0.2522336688318311,0.14318757572420182,-0.04567510195170258,-0.04300204893681722,-0.027528662658775634,0.11119454649231933,-0.025815277316428444
all_eligible,all_signals,2024–2025,3,128259,128242,17,308,24,20.727998627594705,19.421144341929818,22.02513994336221,47.316791690709756,48.805383571684786,50.66047004881396,26.588793063115045,0.38198452035033736,0.22594301492113722,-0.047871958874627654,-0.056577579654091485,-0.03698626464028945,0.11110602587027057,-0.025869130004210785
all_eligible,all_signals,2026,1,45154,44631,523,294,9,25.45091976428939,22.588993561470495,28.448677250614814,49.837556855100715,53.75859828370415,50.44699872286079,24.38663709081132,0.09229242515135885,0.0,-0.027946729851448537,-0.017215862741144047,-0.0074251551612108165,0.09410601732255935,0.016453418027828196
all_eligible,all_signals,2026,2,45154,44371,783,294,8,23.882716188501497,21.328369620208136,26.83325260013549,49.86815712965676,50.77190056568479,50.54202068918888,25.985440941155257,0.16188626284608285,0.0,-0.04709433413716166,-0.0332720756800613,-0.019846552027224993,0.09038730172128975,0.024462759460007675
all_eligible,all_signals,2026,3,45154,44114,1040,294,8,22.693475994015504,20.047001153906546,25.832750940921105,49.93426123226187,48.26132293602938,50.40576687672848,27.240785238246364,0.22737319862897495,0.0,-0.06002991295280411,-0.05195207394477944,-0.0257550682323072,0.0999838747394979,0.02713375799066057
all_eligible,nonoverlap,all,1,35632,35437,195,311,33,21.920591472190086,18.899984996382862,24.5264565324414,48.155882269943845,48.71179840279933,51.47444761125377,26.23529079775376,0.16163496919077322,0.0793493354493302,0.4565416590004797,0.15466507012444616,-0.05052038519061996,0.1301110469753802,0.03934567965685587
all_eligible,nonoverlap,all,2,35632,35415,217,311,32,21.722433996893972,19.16923134303759,24.48077651947415,47.76789495976281,48.64887759423973,50.467316108993366,26.045460962868837,0.34371778195419467,0.15438716871085667,0.3072521332768601,0.04322524410560495,0.025604991952562516,0.13001667957522503,0.04037321615134835
all_eligible,nonoverlap,all,3,35632,35389,243,311,32,21.97858091497358,19.63337756865408,24.504840555904444,48.42465172793806,48.65353640961881,49.408008138122014,26.44607081296448,0.3550292594647071,0.1262676084125669,-0.09738808612845802,-0.018712134561586966,0.08431450478962392,0.13128307187568142,0.04148845545225923
all_eligible,nonoverlap,2024–2025,1,26371,26370,1,308,24,21.911262798634812,18.392646569997044,25.220489131614652,48.93818733409177,48.15699658703071,51.06560485400075,27.02692453545696,0.07674841410836807,0.036141618127616404,0.45632539135381117,0.20219329882442166,-0.021669021236253302,0.17638289800865828,0.2426132897231703
all_eligible,nonoverlap,2024–2025,2,26371,26370,1,308,24,21.528251801289343,18.320374713031384,24.600760160215078,47.720894956389834,48.19491846795601,50.10238907849829,26.19264315510049,0.3002723802770637,0.1518461841531038,0.3481929806598408,0.06937493818733408,0.04296898331437241,0.17638289800865828,0.2426132897231703
all_eligible,nonoverlap,2024–2025,3,26371,26369,2,308,24,21.771777465963822,19.1790312383998,24.60874082555374,48.27638514922826,48.340854791611356,49.49372369069741,26.504607683264442,0.2960736557373122,0.12836970474967568,-0.06176487087109865,0.02014482801774809,0.07587744358906293,0.1762695507769281,0.24269417687436004
all_eligible,nonoverlap,2026,1,9261,9067,194,294,9,21.94772251020183,17.288794601104545,26.450411275444413,45.8806661519797,50.32535568545274,52.66350501819787,23.932943641777875,0.4085146931924301,0.26595744680850686,0.4571706407852652,0.016436395720745584,-0.13443021947722508,-0.004463642750829404,-0.5518274622256534
all_eligible,nonoverlap,2026,2,9261,9045,216,294,8,22.28855721393035,18.26290709800291,26.144722570932473,47.90491984521835,49.97236042012162,51.531232725262576,25.616362631288002,0.4703795002765766,0.16542597187758634,0.18789224986180206,-0.03301217247097845,-0.02501838584853501,-0.005160454763043064,-0.5492421227197345
all_eligible,nonoverlap,2026,3,9261,9020,241,294,8,22.583148558758314,18.863474988747512,26.175117940249528,48.85809312638581,49.567627494456765,49.15742793791574,26.274944567627497,0.527379626946711,0.11046355238312211,-0.20152872505543246,-0.13230628603104216,0.10897934589800452,-0.00023006140003618543,-0.5467148337028824
high_rank,all_signals,all,1,29025,28978,47,309,33,25.94727034301884,24.466645084321605,27.156395579284226,49.83780799227,52.48464352267237,55.94588998550625,23.890537649251158,0.10153565260344528,0.0,-0.2135629712195459,-0.13104402995375805,-0.5654849616950789,0.07885626980050746,-0.1762272168541652
