date,trade_id,branch,side,signal_min,entry_min,s0,episode,k1,k2,leg1_fill,limit_price,exit_type,exit_ref,minutes,adverse,credit,pnl_usd,leg_liq_loss_usd,data_invalid,pnl
2026-08-12,1,B,sell_first,614,615,7746.39,1,7475.0,7480.0,35.1,35.0,fill,35.0,10.0,1.3900000000003274,0.1,10.0,30.0,False,-7711.39
2026-08-12,2,B,sell_first,647,648,7748.19,3,7520.0,7525.0,40.9,40.8,scratch,41.7,,4.0700000000006185,,-80.0,80.0,False,-7706.49
2026-08-12,3,B,sell_first,694,695,7741.53,4,7475.0,7480.0,35.5,35.4,fill,35.4,51.0,3.449999999999818,0.1,10.0,90.0,False,-7706.13
2026-08-13,1,A,long_first,641,642,7810.96,1,7575.0,7570.0,37.5,37.6,fill,37.6,22.0,0.9200000000000728,0.1,10.0,60.0,False,7773.36
2026-08-13,2,A,long_first,679,680,7794.860000000001,3,7530.0,7525.0,33.5,33.6,fill,33.6,8.0,0.7699999999995271,0.1,10.0,40.0,False,7761.26
2026-08-13,3,A,long_first,695,696,7782.99,4,7530.0,7525.0,36.1,36.2,timeout,35.0,,6.680000000000291,,-110.0,140.0,False,7747.99
2026-08-14,1,A,long_first,636,637,7794.19,1,7575.0,7570.0,37.5,37.6,fill,37.6,38.0,1.699999999999818,0.1,10.0,70.0,False,7756.589999999999
2026-08-14,2,B,sell_first,696,697,7783.650000000001,3,7570.0,7575.0,38.7,38.6,scratch,39.7,,2.600000000000364,,-100.0,70.0,False,-7743.950000000001
2026-08-14,3,B,sell_first,792,793,7781.79,5,7570.0,7575.0,38.1,38.0,veto_exit,38.7,,5.479999999999563,,-60.0,60.0,False,-7743.09
2026-08-17,1,B,sell_first,711,712,7774.02,2,7505.0,7510.0,40.7,40.6,veto_exit,41.2,,2.740000000000691,,-50.0,80.0,False,-7732.820000000001
2026-08-17,2,A,long_first,822,823,7756.44,1,7480.0,7475.0,41.8,41.9,timeout,40.9,,2.25,,-90.0,170.0,False,7715.54
2026-08-18,1,A,long_first,663,664,7700.06,1,7420.0,7415.0,42.8,42.9,fill,42.9,16.0,3.1799999999993815,0.1,10.0,90.0,False,7657.160000000001
2026-08-19,1,A,long_first,679,680,7734.98,1,7475.0,7470.0,39.5,39.6,fill,39.6,12.0,0.569999999999709,0.1,10.0,30.0,False,7695.379999999999
2026-08-19,2,A,long_first,704,705,7724.92,2,7465.0,7460.0,40.0,40.1,timeout,39.9,,14.44000000000051,,-10.0,310.0,False,7685.02
2026-08-19,3,A,long_first,780,781,7718.62,4,7460.0,7455.0,40.0,40.1,fill,40.1,21.0,2.990000000000691,0.1,10.0,100.0,False,7678.5199999999995
2026-08-20,1,A,long_first,650,651,7686.34,1,7420.0,7415.0,40.8,40.9,fill,40.9,32.0,13.61999999999989,0.1,10.0,300.0,False,7645.4400000000005
2026-08-20,2,A,long_first,687,688,7683.73,4,7415.0,7410.0,40.5,40.6,fill,40.6,8.0,3.3299999999999272,0.1,10.0,70.0,False,7643.129999999999
2026-08-20,3,A,long_first,707,708,7675.19,5,7405.0,7400.0,41.3,41.4,timeout,38.4,,9.699999999999818,,-290.0,330.0,False,7636.79
