date,min5,open,high,low,close,lips,teeth,jaw,tr,atr,plus_di,minus_di,adx,adx14,adx_s3,er,rsi9,rsi9_sma14,known_min,in_window,lt_atr,tj_atr,fan_atr,ext_atr,slope2_atr,prior_body_top,break_bps,solid_green,stack_up,gaps_expanding,common_ok,thrust_raw,staircase_raw,thrust_ok,staircase_ok,thrust_entry,staircase_entry
2026-08-12,570,7765.46,7766.01,7750.31,7753.77,7736.723307622269,7733.288646143934,7730.694588500268,38.600000000000364,6.343538482260462,53.12036207358454,17.359210206521244,28.37705993348725,28.37705993348725,0.5809106498858725,0.6909892262487949,81.89241432216326,52.88355395487558,575,False,0.5414425226457235,0.4089291254274303,0.9503716480731538,2.6872529307423383,,,,False,True,False,False,False,False,False,False,False,False
2026-08-12,575,7752.85,7758.55,7751.41,7752.4400000000005,7741.962205081513,7737.118916915148,7732.765580071671,7.140000000000327,6.400428590670453,48.88761667634365,15.97599077364904,29.974394238042198,29.974394238042198,1.086137450608663,0.6253065228053145,78.95909650180751,55.629358499034424,580,False,0.7567131009672541,0.6801633330964809,1.436876434063735,1.6370458274872608,,7765.46,-16.79471237442602,False,True,True,False,False,False,False,False,False,False
2026-08-12,580,7752.400000000001,7754.63,7748.37,7751.7300000000005,7745.21813672101,7740.041133532119,7734.571715302941,6.260000000000218,6.39039797705115,45.46689879960618,18.256089072126457,30.8834886966645,30.8834886966645,1.408878312437783,0.5741968383478024,77.29632144129954,58.20562618488248,585,False,0.8101221876137126,0.8558806898755396,1.6660028774892521,1.0190074706420333,1.3293114340056096,7765.46,-17.712175217660526,False,True,True,False,False,False,False,False,False,False
2026-08-12,585,7751.91,7759.22,7747.6,7758.67,7749.70209114734,7743.7669068256955,7736.866790035994,11.61999999999989,6.763940978690346,44.734809070621544,16.015893012225487,32.05419590146321,32.05419590146321,1.22571198932532,0.6460600783631071,81.56527666951104,61.17588241889125,590,False,0.8774742920352542,1.0201326137291835,1.8976069057644378,1.3258407902897453,1.1442864581774357,7765.46,-8.751499934911479,True,True,True,True,False,False,False,False,False,False
2026-08-12,590,7758.75,7758.95,7749.360000000001,7749.360000000001,7749.588060764894,7744.885525460557,7738.056619556376,9.589999999999236,6.965802337355267,40.335697133573994,14.440929184363133,33.14128116306201,33.14128116306201,1.0556289750066046,0.34803738317759686,63.5356872895941,62.346711470888806,595,False,0.6750888234538562,0.9803473560482316,1.6554361795020878,-0.032740056902072115,0.6273396562589963,7758.67,-12.013895341033956,False,True,False,False,False,False,False,False,False,False
2026-08-12,595,7749.4800000000005,7751.31,7744.03,7749.900000000001,7749.69204050993,7745.8884203684465,7739.184560551007,7.280000000000655,6.988245027544224,37.334290853915945,18.814294067120407,33.1300401201997,33.1300401201997,0.7488504745117339,0.3227184466019687,64.05415983284057,63.27237494283339,600,True,0.5442883193836804,0.959305203383133,1.5035935227668134,0.02975847144038782,-0.001438220521821543,7758.75,-11.41950218712429,False,True,False,False,False,False,False,False,False,False
2026-08-12,600,7749.64,7751.110000000001,7742.54,7742.54,7747.30802700662,7745.218736294758,7739.504126212816,8.570000000000618,7.101227525576824,34.115985372165625,18.691191606402217,32.85001255143338,32.85001255143338,0.26527221665672346,0.22078853046594749,52.58880262874505,62.957295351956425,605,True,0.29421543026712044,0.8047355279575608,1.0989509582246813,-0.6714370141566455,-0.32107600412207976,7758.75,-20.93628189198898,False,True,False,False,False,False,False,False,False,False
2026-08-12,605,7742.31,7748.25,7741.72,7745.92,7746.845351337747,7745.358989035807,7740.1151618115955,6.529999999999745,7.060425559464175,31.862201915913978,18.285980487322323,32.43731239442826,32.43731239442826,-0.23465625621125005,0.3326214628937486,56.6020918215907,62.98178275514876,610,True,0.21052021431592916,0.7427069629227223,0.9532271772386515,-0.1310616945046177,-0.4031894604946188,7758.75,-16.563558621829205,True,True,False,False,False,False,False,False,False,False
2026-08-12,610,7747.14,7749.89,7744.110000000001,7746.4400000000005,7746.710234225166,7745.575191228646,7740.7175273533485,5.779999999999745,6.968966590931002,31.655535415929993,17.202678169850824,32.23330602832982,32.23330602832982,-0.298911363956627,0.33616569304302457,57.22872145726746,62.7255745918253,615,True,0.16287106297749576,0.6970422101921037,0.8599132731695995,-0.03877680020976244,-0.08577925775001305,7749.900000000001,-4.4665678685951695,False,True,False,False,False,False,False,False,False,False
2026-08-12,615,7746.39,7752.8,7745.33,7747.66,7747.026822816778,7745.992152982917,7741.378715224459,7.470000000000255,7.004754691578806,32.21161841999641,15.892302864720286,32.354150259826284,32.354150259826284,-0.16528743053569883,0.35113577249869904,58.798938018913724,62.174663727119096,620,True,0.14770964572173825,0.6586151780596767,0.8063248237814149,0.09039248497640792,0.025906899958809477,7749.64,-2.5556103391223584,False,True,False,False,False,False,False,False,False,False
