selector,stage,metric,count,minimum,median,p95,p99,maximum
economic,signal,scenario_iv_decline_points,107,0.5872057014482137,3.5249930727371788,6.4454093410396105,10.166362508004163,11.045965309818333
economic,signal,scenario_iv_decline_fraction_of_bid_iv,107,0.012754066568479957,0.04720925308598109,0.07858189597063835,0.08580970908399961,0.09238884467825059
economic,signal,rally_loss_1pct,107,1.728895181248067,7.162677505085903,26.488212686660557,36.794054108117884,41.65777432569836
economic,signal,economic_ratio,107,0.0015271104882118294,0.4380822942434366,1.6543453960690213,2.1337283542020247,2.670963452508179
economic,signal,required_wing_fraction,107,0.03789298076062372,0.1755421062069531,0.24058110773773925,0.24530614753764537,0.24979204558631285
economic,signal,uncapped_recovery_exceeds_ask,0,,,,,
economic,entry,scenario_iv_decline_points,33,1.4328649471201382,3.7349246517673156,7.484485169356785,8.958963843566838,9.439731502577065
economic,entry,scenario_iv_decline_fraction_of_bid_iv,33,0.021785486451198273,0.0487092355303567,0.07535240784702885,0.08977404384879153,0.09404357262076932
economic,entry,rally_loss_1pct,33,1.275678958811959,8.743431838770366,41.47943327399085,47.231092246547306,49.58070615502126
economic,entry,economic_ratio,33,0.0016035030150900664,0.3781559760768125,1.448394221915644,1.6520975703256076,1.7111704012581992
economic,entry,required_wing_fraction,33,0.0670255167230154,0.1800548142076857,0.2453317186698786,0.2491482894152134,0.249567630157584
economic,entry,uncapped_recovery_exceeds_ask,0,,,,,
mechanical,signal,scenario_iv_decline_points,1161,0.0,0.0,1.4223038942438566,3.4181360540383534,6.531274275298443
mechanical,signal,scenario_iv_decline_fraction_of_bid_iv,1161,0.0,0.0,0.024506308122301083,0.041678932626759375,0.05865365007501579
mechanical,signal,rally_loss_1pct,1161,0.7501408086773885,13.058167848691554,32.171803924769726,108.51951017815247,561.2902498866364
mechanical,signal,economic_ratio,1161,-12.525291228646129,-0.8264368744133552,-0.15348289962184433,0.11050984194383867,0.7709932889390265
mechanical,signal,required_wing_fraction,355,0.08708588461384567,1.8655409429086183,48.55827117389953,435.4482492819668,9492.671055861725
mechanical,signal,uncapped_recovery_exceeds_ask,0,,,,,
mechanical,entry,scenario_iv_decline_points,1105,0.0,0.0,1.9890537440603522,4.405651543583913,6.178338921044696
mechanical,entry,scenario_iv_decline_fraction_of_bid_iv,1105,0.0,0.0,0.03443892726868802,0.05692222700140943,0.08979702731475585
mechanical,entry,rally_loss_1pct,1105,0.15711622100879935,10.05118610952105,45.49556719532473,131.36160831081682,1131.2351186974106
mechanical,entry,economic_ratio,1105,-34.00991330268958,-0.929440745109581,-0.15750050305402954,0.10783127967294205,0.7941337001482508
mechanical,entry,required_wing_fraction,412,0.0670255167230154,2.230683383029858,22.979236119587362,128.635894543867,9492.671055861725
mechanical,entry,uncapped_recovery_exceeds_ask,0,,,,,
