ticker,date,selector,reason,strike,expiry,gross,maximum_gross,net,maximum_net,wing,shock,rally_loss,ratio,exceeds_bound
ABT,2024-02-06,economic,no_positive_net_scenario,,,,,,,,,,,
ABT,2024-02-06,mechanical,selected,118.0,2024-02-16,0.0,16.0,-6.3,9.7,-1.1601858255309683,0.0,14.251352129163648,-0.442063317424304,False
ABT,2024-07-22,economic,no_positive_net_scenario,,,,,,,,,,,
ABT,2024-07-22,mechanical,selected,110.0,2024-08-02,0.9602332907670227,30.0,-12.339766709232974,16.7,1.0714908690252516,0.2678727172563129,13.424756291827611,-0.9191799419662366,False
ABT,2024-07-23,economic,no_positive_net_scenario,,,,,,,,,,,
ABT,2024-07-23,mechanical,selected,111.0,2024-08-02,1.758463293313138,25.0,-7.541536706686863,15.7,2.344001880436636,0.586000470109159,12.078473779896672,-0.6243782819017204,False
ABT,2024-07-24,economic,no_positive_net_scenario,,,,,,,,,,,
ABT,2024-07-24,mechanical,selected,115.0,2024-08-02,0.0,48.0,-17.299999999999997,30.7,-0.12087914310575654,0.0,12.275461350664589,-1.409315666906758,False
ABT,2024-07-25,economic,no_positive_net_scenario,,,,,,,,,,,
ABT,2024-07-25,mechanical,selected,114.0,2024-08-02,0.7993425554999614,33.0,-7.500657444500037,24.700000000000003,1.1681428077384481,0.29203570193461204,12.898388145134513,-0.5815189743169118,False
ABT,2024-07-26,economic,no_positive_net_scenario,,,,,,,,,,,
ABT,2024-07-26,mechanical,selected,113.0,2024-08-02,0.6109882079347401,49.0,-21.689011792065262,26.7,0.8646103579869224,0.2161525894967306,13.34863458524599,-1.624811260923851,False
ABT,2024-07-29,economic,no_positive_net_scenario,,,,,,,,,,,
ABT,2024-07-29,mechanical,selected,111.0,2024-08-09,0.2860250324806864,22.0,-6.013974967519314,15.7,0.4111994557930432,0.1027998639482608,11.159439659178194,-0.5389137045580115,False
ABT,2024-07-30,economic,no_positive_net_scenario,,,,,,,,,,,
ABT,2024-07-30,mechanical,selected,110.0,2024-08-09,0.0,28.999999999999996,-9.299999999999997,19.7,-1.0168762688193889,0.0,14.645039847791667,-0.6350272922884774,False
ABT,2024-07-31,economic,no_positive_net_scenario,,,,,,,,,,,
ABT,2024-07-31,mechanical,selected,111.0,2024-08-09,0.13768876369443706,19.0,-6.1623112363055625,12.7,0.21191455417467753,0.05297863854366938,11.456398734597249,-0.5378925244366679,False
ABT,2024-08-01,economic,no_positive_net_scenario,,,,,,,,,,,
ABT,2024-08-01,mechanical,selected,116.0,2024-08-09,0.40689580897649363,21.0,-6.893104191023505,13.7,0.5711639298735888,0.1427909824683972,13.862389005677839,-0.4972522548746963,False
ABT,2024-11-08,economic,no_positive_net_scenario,,,,,,,,,,,
ABT,2024-11-08,mechanical,selected,120.0,2024-11-15,0.0,15.0,-7.299999999999999,7.7,-0.533279282361504,0.0,14.816237033841858,-0.4927027006470013,False
