tradeDate,ticker,expiry,strike,mode,target_delta,target_otm_pct,vendor_dte,bid,ask,bid_iv_pct,mid_iv_pct,atm_mid_iv_pct,bid_excess_iv_points,mid_excess_iv_points,bid_excess_n,bid_excess_mean,bid_excess_std,bid_excess_z,bid_excess_percentile,bid_excess_robust_z,bid_excess_first,bid_excess_last,mid_excess_n,mid_excess_mean,mid_excess_std,mid_excess_z,mid_excess_percentile,mid_excess_robust_z,mid_excess_first,mid_excess_last,bid_n,bid_mean,bid_std,bid_z,bid_percentile,bid_robust_z,bid_first,bid_last
2026-08-19,MSTR,2026-08-28,140.0,delta,0.03357470813520596,34.78386444594204,10,0.24,0.29,102.00951848855746,103.79261304679133,75.93314623388308,26.076372254674386,27.859466812908252,60,9.806449136367558,4.769595117726266,3.4111748936171615,100.0,4.278146713726905,2026-05-22,2026-08-18,60,13.712108658295026,3.8806685370412377,3.6455981796888235,100.0,3.151179090407573,2026-05-22,2026-08-18,60,0.9063004228544258,0.09416228863115075,1.208496136674223,93.33333333333333,1.070961369878884,2026-05-22,2026-08-18
2026-08-19,MSTR,2026-08-28,140.0,log_otm,0.03357470813520596,34.78386444594204,10,0.24,0.29,102.00951848855746,103.79261304679133,75.93314623388308,26.076372254674386,27.859466812908252,36,10.75189901802678,6.27007313692806,,,,2026-05-22,2026-08-18,36,15.433647801150626,5.393417117159041,,,,2026-05-22,2026-08-18,36,0.9478649108883466,0.07524805050568453,,,,2026-05-22,2026-08-18
2026-08-20,MSTR,2026-08-28,150.0,delta,0.04308134905750613,33.85686239514545,9,0.32,0.38,110.26591090943245,112.03486422184162,83.80376818054874,26.46214272888371,28.23109604129287,60,8.921514278245775,4.48263110535693,3.9130207323275283,100.0,4.1046637294912385,2026-05-26,2026-08-19,60,12.083002590258706,4.016476069541952,4.0204630057401864,100.0,4.058649497254696,2026-05-26,2026-08-19,60,0.9054699666208743,0.09547725350605737,2.065299694245393,95.0,2.0872978052592677,2026-05-26,2026-08-19
2026-08-20,MSTR,2026-08-28,150.0,log_otm,0.04308134905750613,33.85686239514545,9,0.32,0.38,110.26591090943245,112.03486422184162,83.80376818054874,26.46214272888371,28.23109604129287,26,10.770236158170935,6.827151132886653,,,,2026-05-26,2026-08-19,26,16.055051641542676,5.516076588890402,,,,2026-05-26,2026-08-19,26,0.958555717085499,0.0891752614155308,,,,2026-05-26,2026-08-19
2026-08-21,MSTR,2026-08-28,160.0,delta,0.038284436013965265,34.29578646969951,8,0.26,0.32,114.1797983200525,116.33371417184021,82.82303935048681,31.35675896956569,33.51067482135341,59,9.9922176856338,5.272409288519759,4.0521401345778365,100.0,5.260669167338795,2026-05-27,2026-08-20,59,13.411706234725731,4.736687714227385,4.24325389369818,100.0,4.962168867529698,2026-05-27,2026-08-20,60,0.9254852090640432,0.10136869563957392,2.1339208596074126,98.33333333333333,2.2143121235275323,2026-05-27,2026-08-20
2026-08-21,MSTR,2026-08-28,160.0,log_otm,0.038284436013965265,34.29578646969951,8,0.26,0.32,114.1797983200525,116.33371417184021,82.82303935048681,31.35675896956569,33.51067482135341,13,11.674255581465385,5.061945966892547,,,,2026-05-27,2026-08-20,13,18.094404440549514,5.898379333349022,,,,2026-05-27,2026-08-20,13,1.0173724908948363,0.10573075127173018,,,,2026-05-27,2026-08-20
2026-08-24,MSTR,2026-08-28,155.0,delta,0.03544676565846313,26.758259731763157,5,0.22,0.27,122.20312362247871,124.48160673731581,93.56687849528697,28.63624512719174,30.914728242028833,52,11.29036167807552,6.277686052199946,2.763101452491009,96.15384615384616,3.8590018055960944,2026-05-28,2026-08-21,52,15.204432566273994,5.415607663776468,2.900929434167979,96.15384615384616,3.806121430278671,2026-05-28,2026-08-21,56,0.9825742298517989,0.12027983018849235,1.9908325942739657,96.42857142857143,1.8050066395830253,2026-05-28,2026-08-21
2026-08-24,MSTR,2026-08-28,155.0,log_otm,0.03544676565846313,26.758259731763157,5,0.22,0.27,122.20312362247871,124.48160673731581,93.56687849528697,28.63624512719174,30.914728242028833,20,15.179574460303135,6.169879131140667,,,,2026-05-28,2026-08-21,20,19.263846311444105,5.110506994365351,,,,2026-05-28,2026-08-21,20,1.09004807151686,0.07659683221138962,,,,2026-05-28,2026-08-21
2026-08-31,MSTR,2026-09-04,160.0,delta,0.042562422916518385,20.70006035003018,5,0.23,0.25,100.91731225620337,101.67364703939596,79.89715244232306,21.020159813880312,21.776494597072904,51,10.557634166055198,6.6747697186050985,1.5674736491151315,90.19607843137256,2.4663646513238575,2026-06-04,2026-08-28,51,13.916275181159085,5.82556175395509,1.3492637702411034,90.19607843137256,2.117705579087429,2026-06-04,2026-08-28,56,0.9781922473975913,0.1201499212725248,0.2578518141029112,57.14285714285714,0.25607829554698,2026-06-04,2026-08-28
2026-08-31,MSTR,2026-09-04,160.0,log_otm,0.042562422916518385,20.70006035003018,5,0.23,0.25,100.91731225620337,101.67364703939596,79.89715244232306,21.020159813880312,21.776494597072904,33,9.883836199723584,6.946438246043211,,,,2026-06-04,2026-08-28,33,13.545516386184676,5.698795712585009,,,,2026-06-04,2026-08-28,33,1.0161762260096243,0.08820449772282674,,,,2026-06-04,2026-08-28
2026-09-03,MSTR,2026-09-11,190.0,delta,0.03442508882573573,32.48727424865769,9,0.25,0.31,98.72075282909175,100.55867346017875,76.69116362688129,22.029589202210463,23.86750983329746,60,11.732300481719117,7.4141295566415755,1.3888735881701768,91.66666666666666,2.27683341981485,2026-06-09,2026-09-02,60,15.367013808005062,6.3281928286565465,1.3432738627683418,91.66666666666666,1.9490484316364314,2026-06-09,2026-09-02,60,0.9304655129992714,0.10425675013726222,0.5442526763681085,71.66666666666667,0.6492206590145002,2026-06-09,2026-09-02
2026-09-03,MSTR,2026-09-11,190.0,log_otm,0.03442508882573573,32.48727424865769,9,0.25,0.31,98.72075282909175,100.55867346017875,76.69116362688129,22.029589202210463,23.86750983329746,32,13.308246722798547,7.412404675570987,,,,2026-06-09,2026-09-02,32,16.98354297587327,6.43100353506924,,,,2026-06-09,2026-09-02,32,0.9732169553589418,0.08471305571386671,,,,2026-06-09,2026-09-02
