ticker,session_date,captured,path,sha256,points,first,last
CVNA,2026-08-31,2026-09-03T11:45:13.655893+00:00,/Users/dgrissen/Dev/delta_bomb-nvda_call_strat/docs/replay/hiro_daily_four_methods_2026-08-24_to_2026-09-02/hiro_ticker_followthrough_to_2026-09-02/ticker=CVNA/date=2026-08-31/normalized/hiro_series.csv,022de6cb5a67a3f9f5d49ffec145272e78f218a9aea4cc112dd09cfc6e5ac9f8,4681,2026-08-31 09:30:00-04:00,2026-08-31 16:00:00-04:00
CVNA,2026-09-01,2026-09-03T11:45:13.655893+00:00,/Users/dgrissen/Dev/delta_bomb-nvda_call_strat/docs/replay/hiro_daily_four_methods_2026-08-24_to_2026-09-02/hiro_ticker_followthrough_to_2026-09-02/ticker=CVNA/date=2026-09-01/normalized/hiro_series.csv,802d7f5193fe49b2a3c6116fe853c0bf7860de66932c1065f3e16a71d9dd6c04,4681,2026-09-01 09:30:00-04:00,2026-09-01 16:00:00-04:00
CVNA,2026-09-04,2026-09-04T22:13:49.487717+00:00,/Users/dgrissen/Dev/delta_bomb-nvda_call_strat/docs/replay/hiro_daily_pandar_approved_2026-08-11_to_2026-09-04/hiro_ticker_followthrough_to_2026-09-04/ticker=CVNA/date=2026-09-04/normalized/hiro_series.csv,c0c433c152bde3ee64fc8fe36f8db9cc3bb8f93cd21aa3d7ed3845daccf2d08a,4681,2026-09-04 09:30:00-04:00,2026-09-04 16:00:00-04:00
GOOG,2026-08-27,2026-09-03T11:51:55.569195+00:00,/Users/dgrissen/Dev/delta_bomb-nvda_call_strat/docs/replay/hiro_daily_four_methods_2026-08-24_to_2026-09-02/hiro_ticker_followthrough_to_2026-09-02/ticker=GOOG/date=2026-08-27/normalized/hiro_series.csv,efd39b4c4c043b48b3722e3cb76e58a57eeb9aa79cb8b91a0ea94e7c9d0dcbca,4681,2026-08-27 09:30:00-04:00,2026-08-27 16:00:00-04:00
GOOG,2026-08-28,2026-09-03T11:51:55.569195+00:00,/Users/dgrissen/Dev/delta_bomb-nvda_call_strat/docs/replay/hiro_daily_four_methods_2026-08-24_to_2026-09-02/hiro_ticker_followthrough_to_2026-09-02/ticker=GOOG/date=2026-08-28/normalized/hiro_series.csv,555066249b09f03b91065bb213e059a0a4b5c50367d6e335525690a260f2b739,4681,2026-08-28 09:30:00-04:00,2026-08-28 16:00:00-04:00
GOOG,2026-08-31,2026-09-03T11:51:55.569195+00:00,/Users/dgrissen/Dev/delta_bomb-nvda_call_strat/docs/replay/hiro_daily_four_methods_2026-08-24_to_2026-09-02/hiro_ticker_followthrough_to_2026-09-02/ticker=GOOG/date=2026-08-31/normalized/hiro_series.csv,86566f795f6162f32b5818312d5ab53f24265c5f1c717de17d02135e93c9453c,4681,2026-08-31 09:30:00-04:00,2026-08-31 16:00:00-04:00
GOOG,2026-09-01,2026-09-03T11:51:55.569195+00:00,/Users/dgrissen/Dev/delta_bomb-nvda_call_strat/docs/replay/hiro_daily_four_methods_2026-08-24_to_2026-09-02/hiro_ticker_followthrough_to_2026-09-02/ticker=GOOG/date=2026-09-01/normalized/hiro_series.csv,ae61c123afa0e534f25de644eef28e20edb387d6ceaafce132a1f0e8a2f3dd7b,4681,2026-09-01 09:30:00-04:00,2026-09-01 16:00:00-04:00
GOOG,2026-09-04,2026-09-04T22:16:29.776896+00:00,/Users/dgrissen/Dev/delta_bomb-nvda_call_strat/docs/replay/hiro_daily_pandar_approved_2026-08-11_to_2026-09-04/hiro_ticker_followthrough_to_2026-09-04/ticker=GOOG/date=2026-09-04/normalized/hiro_series.csv,69f8479c954d5d4c85ca4bef77308d47d596181f8103a6ecda6144b7a1b36fc4,4681,2026-09-04 09:30:00-04:00,2026-09-04 16:00:00-04:00
GOOGL,2026-08-27,2026-09-03T11:52:19.114245+00:00,/Users/dgrissen/Dev/delta_bomb-nvda_call_strat/docs/replay/hiro_daily_four_methods_2026-08-24_to_2026-09-02/hiro_ticker_followthrough_to_2026-09-02/ticker=GOOGL/date=2026-08-27/normalized/hiro_series.csv,6ae98a8ae962d3185ead27fb68b53b324be7c44b7c3d27e8640443baff598bfa,4681,2026-08-27 09:30:00-04:00,2026-08-27 16:00:00-04:00
GOOGL,2026-08-28,2026-09-03T11:52:19.114245+00:00,/Users/dgrissen/Dev/delta_bomb-nvda_call_strat/docs/replay/hiro_daily_four_methods_2026-08-24_to_2026-09-02/hiro_ticker_followthrough_to_2026-09-02/ticker=GOOGL/date=2026-08-28/normalized/hiro_series.csv,924aaf3c4d489b1527e8936e27b1e6d08ec3778a69a23e0f28b7b06d803ee38d,4681,2026-08-28 09:30:00-04:00,2026-08-28 16:00:00-04:00
GOOGL,2026-08-31,2026-09-03T11:52:19.114245+00:00,/Users/dgrissen/Dev/delta_bomb-nvda_call_strat/docs/replay/hiro_daily_four_methods_2026-08-24_to_2026-09-02/hiro_ticker_followthrough_to_2026-09-02/ticker=GOOGL/date=2026-08-31/normalized/hiro_series.csv,2df57f1e4a3d681835f97ee07498570dbcdad9b1ce3fadccc619673018d226ed,4681,2026-08-31 09:30:00-04:00,2026-08-31 16:00:00-04:00
GOOGL,2026-09-01,2026-09-03T11:52:19.114245+00:00,/Users/dgrissen/Dev/delta_bomb-nvda_call_strat/docs/replay/hiro_daily_four_methods_2026-08-24_to_2026-09-02/hiro_ticker_followthrough_to_2026-09-02/ticker=GOOGL/date=2026-09-01/normalized/hiro_series.csv,f62681c966bb39a03644f126971d65109dc0fa6035a0af58ad13036183a2fc48,4681,2026-09-01 09:30:00-04:00,2026-09-01 16:00:00-04:00
GOOGL,2026-09-04,2026-09-04T22:16:40.644175+00:00,/Users/dgrissen/Dev/delta_bomb-nvda_call_strat/docs/replay/hiro_daily_pandar_approved_2026-08-11_to_2026-09-04/hiro_ticker_followthrough_to_2026-09-04/ticker=GOOGL/date=2026-09-04/normalized/hiro_series.csv,9d6d2a3a79ac076c409401c0a23cdbe25429e74136d78ea25a7853796a31ff4a,4681,2026-09-04 09:30:00-04:00,2026-09-04 16:00:00-04:00
HOOD,2026-08-31,2026-09-03T11:53:22.551305+00:00,/Users/dgrissen/Dev/delta_bomb-nvda_call_strat/docs/replay/hiro_daily_four_methods_2026-08-24_to_2026-09-02/hiro_ticker_followthrough_to_2026-09-02/ticker=HOOD/date=2026-08-31/normalized/hiro_series.csv,8a4652e0dca582f8eff810f24349ad5fc9616847f0f05634310008e2b2dcd6c7,4681,2026-08-31 09:30:00-04:00,2026-08-31 16:00:00-04:00
HOOD,2026-09-01,2026-09-03T11:53:22.551305+00:00,/Users/dgrissen/Dev/delta_bomb-nvda_call_strat/docs/replay/hiro_daily_four_methods_2026-08-24_to_2026-09-02/hiro_ticker_followthrough_to_2026-09-02/ticker=HOOD/date=2026-09-01/normalized/hiro_series.csv,a8a25a5b081dc718e5cdc0dab4a9d891fb97c3170d6e9faaee9183a8eb89606c,4681,2026-09-01 09:30:00-04:00,2026-09-01 16:00:00-04:00
