signal_date,leg,timestamp,ticker,expiry,strike,delta,implied_vol_pct,bid,ask,stock,otm_pct,iv_error
2026-08-20,1,2026-08-21T10:41:00-04:00,MSTR,2026-08-28,150.0,0.081,114.32,0.61,0.7000000000000001,118.63,26.443564022591246,-0.0004
2026-08-20,2,2026-08-25T11:27:00-04:00,MSTR,2026-08-28,145.0,0.0849,106.71000000000002,0.45,0.5,125.78,15.280648751788828,-0.0002
2026-08-21,1,2026-08-24T10:51:00-04:00,MSTR,2026-08-28,160.0,0.0429,130.39000000000001,0.26,0.32,124.5,28.514056224899598,0.0025
2026-08-21,2,2026-08-26T11:45:00-04:00,MSTR,2026-08-28,155.0,0.008,124.37,0.03,0.04,122.42,26.613298480640424,0.0164
