expiry,strike,dte,stock,delta,otm_pct,bid,ask,quote_width,width_pct_of_bid,oi,wing_mid_excess_points,wing_bid_excess_points,nearer_strike,nearer_ask,event_inside_estimate,all_original_contract_gates,without_delta_band,without_absolute_width,tradeDate,ticker,original_surface_pass,ivRank1y,rr25_pct252,event_estimate_available,original_selected_contract,original_ticker_chain_pass
2026-08-21,210.0,11,202.21,0.2457150674031294,3.8524306414123854,1.6,1.85,0.25,15.625,409,1.3926138545898692,0.19242677937629793,200.0,5.7,False,False,False,False,2026-08-11,FANG,True,53.12,5.9523809523809526,True,False,False
2026-08-21,220.0,11,202.21,0.08107519789929397,8.797784481479653,0.35,0.65,0.30000000000000004,85.71428571428574,1167,3.6902722804928234,0.8037912605113107,210.0,1.85,False,False,False,False,2026-08-11,FANG,True,53.12,5.9523809523809526,True,False,False
2026-08-21,230.0,11,202.21,0.021132228744657002,13.7431383215469,0.1,0.35,0.24999999999999997,249.99999999999994,1161,9.19996656219093,4.435430867622436,220.0,0.65,False,False,False,False,2026-08-11,FANG,True,53.12,5.9523809523809526,True,True,False
2026-08-14,550.0,3,548.18,0.5102938727705599,0.3320077346856909,19.0,20.5,1.5,7.894736842105263,923,0.5039026894902321,-4.116401520929802,547.5,21.65,True,False,False,False,2026-08-12,AMAT,False,47.98,0.3968253968253968,True,False,False
2026-08-14,552.5,3,548.18,0.4908678444209083,0.7880623152979105,18.0,19.0,1.0,5.555555555555555,77,0.0,-3.070829933263819,550.0,20.5,True,False,False,False,2026-08-12,AMAT,False,47.98,0.3968253968253968,True,False,False
2026-08-14,555.0,3,548.18,0.4717149347571865,1.2441168959101079,17.0,18.0,1.0,5.88235294117647,130,0.6087542810657265,-2.483539928467149,552.5,19.0,True,False,False,False,2026-08-12,AMAT,False,47.98,0.3968253968253968,True,False,False
2026-08-14,557.5,3,548.18,0.45273665681957104,1.7001714765223275,15.5,17.75,2.25,14.516129032258066,39,1.8087269286688246,-5.128643502273089,555.0,18.0,True,False,False,False,2026-08-12,AMAT,False,47.98,0.3968253968253968,True,False,False
2026-08-14,560.0,3,548.18,0.43413332462544174,2.156226057134525,14.5,16.3,1.8000000000000007,12.413793103448281,173,0.4730982337537659,-5.170834864430396,557.5,17.75,True,False,False,False,2026-08-12,AMAT,False,47.98,0.3968253968253968,True,False,False
2026-08-14,562.5,3,548.18,0.41576236020188584,2.6122806377467445,13.5,15.8,2.3000000000000007,17.03703703703704,25,1.8696451657016278,-5.321457215693393,560.0,16.3,True,False,False,False,2026-08-12,AMAT,False,47.98,0.3968253968253968,True,False,False
2026-08-14,565.0,3,548.18,0.39773949474741793,3.068335218358942,12.75,15.05,2.3000000000000007,18.039215686274517,100,2.985329346362997,-4.402278309948482,562.5,15.8,True,False,False,False,2026-08-12,AMAT,False,47.98,0.3968253968253968,True,False,False
