ticker,tradeDate,stockPrice,confidence,exErnIv30d,ieeEarnEffect,iv10d,iv30d,iv90d,mwAdj30,dlt5Iv10d,dlt5Iv30d,exErnDlt25Iv30d,exErnDlt75Iv30d,dlt95Iv10d,dlt95Iv30d,rr25,callskew,call_wing_30,call_wing_10,put_wing_10,call_kink,rr25_pct252,callskew_pct252,call_wing_10_pct252,put_wing_10_pct252,call_kink_pct252,iv10d_pct252,return_5d_pct,drawdown_20d_pct,sma50,sma200,extension_50d_pct,sma50_rising,above_200d,above_50d,return_63d_pct,relative_return_63d_pct,tradeDate_core,priorCls,mktCap,mktWidthVol,stkVolu,avgOptVolu20d,sector,nextErn,bestEtf,sectorName,ivPctile1m,ivPctile1y,confidence_core,wksNextErn,oi,ivRank1y,ivPct1y,ivRank1m,ivPct1m,dollar_stock_volume,broad_universe,liquid_final,rs63_cross_section_pct,buy_surface_tier,buy_technical_good,buy_first_standard,buy_first_puke,sell_archetype,earnings_near_front_expiry,sell_first_actionable,buy_score,sell_score,universe_size,liquid_universe_size,putskew,putskew_pct252,buy_first_put_tail_inventory,put_inventory_score,original_surface_pass,original_surface_reason
GS,2026-08-17,1050.83,0.989515,29.7756,1.971,31.2917,29.7756,32.1457,0.0302488,34.6679,30.5026,29.456500000000002,30.497000000000003,36.206700000000005,34.3802,1.0405000000000015,-0.31909999999999883,0.7270000000000003,3.3762000000000043,4.915000000000006,4.165300000000002,1.5873015873015872,95.63492063492063,99.2063492063492,15.079365079365079,86.5079365079365,48.41269841269841,1.666005553351857,-4.383945550995905,1053.8956,931.92475,-0.2908827022335192,True,True,False,10.155668536086782,7.351614482032721,2026-08-17,1039.42,309988484.0,3.02488,1887043,36360.45,Investment Banking & Brokerage,0000-00-00,XLF,Financials,10,56,98.9515,8,467287,37.88,56.35,10.22,9.52,1961430235.0600002,True,True,60.45751633986928,,True,False,False,grab,False,True,20.376984126984127,54.24603174603175,306,268,,,,,True,Passed original surface
LRCX,2026-08-17,342.66,0.972839,61.4649,2.93752,66.40129999999999,61.4649,65.6292,0.0537196,71.7086,64.77629999999999,62.171200000000006,61.566900000000004,72.5877,65.2308,-0.6043000000000021,0.7063000000000059,3.311399999999992,5.307300000000012,6.186400000000006,6.932300000000012,1.9841269841269842,94.44444444444444,92.85714285714286,7.5396825396825395,78.96825396825396,53.17460317460318,11.1774439505532,0.0,337.5354,250.42480000000003,1.5182407534143127,True,True,True,19.924404157771324,17.120350103717264,2026-08-17,332.36,428777654.0,5.37196,10739249,53989.65,Semiconductor Equipment & Materials Manufacturing,0000-00-00,XLK,Technology,10,58,97.2839,9,627021,50.23,57.94,3.27,9.52,3569296797.6400003,True,True,77.45098039215686,,True,False,False,grab,False,True,20.476190476190478,53.23412698412698,306,268,,,,,True,Passed original surface
MPC,2026-08-17,361.96,0.979868,41.9184,1.0,43.9698,41.9184,43.1824,0.0218067,47.5284,45.018,42.9077,41.597699999999996,45.6287,44.4452,-1.3100000000000023,0.9893000000000001,3.0996000000000024,3.5585999999999984,1.6589000000000027,2.510399999999997,0.0,97.61904761904762,87.3015873015873,1.5873015873015872,87.6984126984127,91.66666666666667,13.44219136866518,0.0,289.6562,229.43155,24.96193763503076,True,True,True,42.22396856581532,39.419914511761256,2026-08-17,355.42,105669384.0,2.18067,2282417,3668.95,Petroleum Refining & Marketing,0000-00-00,XLE,Energy,81,98,97.9868,11,83237,94.47,98.02,80.51,80.95,811216650.14,True,True,93.13725490196079,,False,False,False,grab,False,False,10.119047619047619,53.11507936507937,306,268,,,,,False,IVR outside 30–70
PYPL,2026-08-17,60.41,0.551493,28.8901,4.0,31.816100000000002,28.8901,33.1888,0.064328,41.9799,32.4552,29.7031,28.5648,30.277500000000003,28.7648,-1.1382999999999974,0.8129999999999988,3.5650999999999975,10.163799999999998,-1.5385999999999989,9.524700000000003,5.555555555555555,82.14285714285714,86.11111111111111,0.0,86.9047619047619,32.93650793650794,2.9832935560859086,-0.869707909419104,50.385799999999996,51.610699999999994,19.894891020882866,True,True,True,35.50919694930461,32.705142895250546,2026-08-17,61.66,51678391.0,6.4328,12784928,56080.5,Credit & Lending Services,0000-00-00,XLF,Financials,57,19,55.1493,10,1813668,15.85,18.65,25.67,57.14,788318660.4799999,True,True,90.19607843137256,,False,False,False,grab,False,False,11.4484126984127,52.95634920634921,306,268,,,,,False,IVR outside 30–70
RBLX,2026-08-17,37.66,0.9059,58.2943,4.0,61.3634,58.2943,69.01129999999999,0.0509109,72.0209,66.5881,60.775,57.9375,60.2565,58.835899999999995,-2.8374999999999986,2.480699999999999,8.293799999999997,10.657499999999999,-1.106899999999996,5.4328,0.3968253968253968,99.2063492063492,94.44444444444444,0.0,72.61904761904762,42.06349206349206,0.8029978586723718,-29.010367577756835,47.027800000000006,64.63754999999999,-19.919707066883863,False,False,False,-11.988782425800427,-14.792836479854488,2026-08-17,38.23,26903398.0,5.09109,14951217,31328.0,Gaming & Interactive Media,0000-00-00,XLC,Comm,19,43,90.59,10,424994,36.16,42.86,6.71,14.29,571585025.91,True,True,18.30065359477124,,False,False,False,grab,False,False,10.079365079365079,53.07539682539682,306,268,,,,,False,more than 5% below 20-day high
SBUX,2026-08-17,107.27,0.811971,25.4004,4.0,27.3728,25.4004,29.1715,0.0253627,31.8535,27.3714,25.5013,26.063599999999997,27.8289,27.4866,0.5622999999999969,0.10089999999999932,1.971,4.480699999999999,0.4560999999999993,4.482099999999999,2.380952380952381,88.0952380952381,85.71428571428571,0.7936507936507936,80.95238095238095,15.476190476190476,2.611440596900705,-1.5871559633027554,103.78260000000002,96.095,3.360293536681458,True,True,True,0.694640007509606,-2.1094140465444555,2026-08-17,107.69,122287800.0,2.53627,7662281,24032.15,Restaurants,0000-00-00,XLY,C. Cyclical,14,2,81.1971,10,480365,6.81,1.59,11.84,14.29,825151040.89,True,True,38.56209150326798,,False,False,False,grab,False,False,10.833333333333332,52.61904761904762,306,268,,,,,False,IVR outside 30–70
TTD,2026-08-17,13.36,0.90236,55.1446,4.0,57.192699999999995,55.1446,67.4629,0.0453055,73.8176,66.0659,58.3855,54.1347,55.1549,54.3084,-4.250799999999998,3.2409000000000034,10.921300000000002,16.624900000000004,-2.037799999999997,7.7517,4.761904761904762,93.25396825396825,95.63492063492063,0.7936507936507936,80.95238095238095,37.698412698412696,1.9069412662090057,-30.561330561330557,17.9962,27.277849999999997,-25.762105333348163,False,False,False,-36.62239089184061,-39.42644494589467,2026-08-17,14.14,6277599.0,4.53055,28936440,71821.35,Advertising & Marketing Services,0000-00-00,XLK,Technology,19,33,90.236,11,957615,33.85,32.54,11.46,19.05,409161261.6,True,True,1.9607843137254901,,False,False,False,grab,False,False,10.813492063492063,53.611111111111114,306,268,,,,,False,more than 5% below 20-day high
GS,2026-08-18,1039.13,0.983894,29.221200000000003,2.30617,30.8151,29.221200000000003,32.1062,0.0291746,32.9453,30.4053,28.9242,29.765399999999996,34.4998,32.2225,0.8411999999999971,-0.29700000000000415,1.1840999999999973,2.130200000000002,3.6846999999999994,2.5400000000000027,0.3968253968253968,96.03174603174604,92.46031746031746,4.365079365079365,70.63492063492063,46.42857142857143,0.7807347635489181,-5.4485400496810605,1053.8375999999998,933.2077499999999,-1.3956230068086106,True,True,False,9.893398760549088,8.029066529167572,2026-08-18,1051.31,306537055.0,2.91746,1853156,36760.15,Investment Banking & Brokerage,0000-00-00,XLF,Financials,10,51,98.3894,8,484008,34.58,50.0,1.11,9.52,1948241434.36,True,True,61.43790849673203,,True,False,False,grab,False,False,20.23809523809524,52.77777777777778,306,268,,,,,False,more than 5% below 20-day high
S,2026-08-18,22.59,0.830236,52.4794,3.02454,91.2065,65.68310000000001,59.973699999999994,0.122728,110.68299999999999,73.898,54.966,52.25300000000001,97.3345,68.9016,-2.712999999999994,2.486600000000003,8.214899999999986,19.476499999999987,6.128,36.785,8.333333333333334,79.36507936507937,89.68253968253968,39.285714285714285,95.63492063492063,90.87301587301587,0.40000000000000036,-5.16372795969774,18.288999999999998,15.7629,23.51686806276998,True,True,True,28.13386273397618,26.269530502594662,2026-08-18,21.82,7743936.0,12.27276,6384901,20148.55,Infrastructure Software,0000-00-00,XLK,Technology,24,54,83.0236,1,278594,45.02,58.73,23.83,28.57,139318539.82,True,True,86.9281045751634,,False,False,False,grab,True,False,11.865079365079366,23.75,306,268,,,,,False,more than 5% below 20-day high; near-front earnings flag
TOST,2026-08-18,35.16,0.887046,38.6169,4.0,40.2845,38.6169,45.6334,0.0495801,46.0043,41.0435,38.95,39.3615,43.8448,42.6517,0.41149999999999665,0.33310000000000173,2.4266000000000005,5.719799999999999,3.560299999999998,4.960799999999999,2.7777777777777777,84.92063492063492,90.07936507936508,6.349206349206349,73.41269841269842,12.698412698412698,0.42844901456726703,-0.9577464788732448,29.672400000000003,30.21505,18.49395397743354,True,True,True,55.36897923110915,53.50464699972763,2026-08-18,34.32,20392800.0,4.95801,10346579,14960.7,Infrastructure Software,0000-00-00,XLF,Financials,14,8,88.7046,11,330013,12.74,7.14,7.08,14.29,355094591.28000003,True,True,96.73202614379085,,False,False,False,grab,False,False,11.031746031746032,52.67857142857143,306,268,,,,,False,IVR outside 30–70
COIN,2026-08-19,159.02,0.956713,66.3985,1.98237,68.4804,66.3985,70.6585,0.0558996,86.5526,81.6416,69.7491,64.65769999999999,70.43589999999999,68.4362,-5.091400000000007,3.3506,15.243099999999998,18.072199999999995,1.9554999999999865,4.911000000000001,2.380952380952381,92.46031746031746,88.88888888888889,2.7777777777777777,70.23809523809524,49.6031746031746,6.947340103571187,-4.994623013502197,157.7628,200.25149999999996,0.7968925500815294,False,False,True,-17.742602938133658,-19.831282721424206,2026-08-19,146.23,41955347.0,5.58996,7714474,126705.0,Financial Data & Exchanges,0000-00-00,XLF,Financials,52,57,95.6713,10,1129119,59.16,56.75,42.94,52.38,1128087533.02,True,True,11.475409836065573,,False,False,False,grab,False,True,10.615079365079364,52.400793650793645,305,268,,,,,True,Passed original surface
MRK,2026-08-19,152.53,0.779445,34.1669,4.0,38.954499999999996,34.1669,34.7308,0.0454454,45.270500000000006,38.218999999999994,35.654599999999995,34.3692,38.7494,36.7663,-1.2853999999999957,1.4876999999999967,4.052099999999996,6.31600000000001,-0.2050999999999945,7.051500000000011,0.3968253968253968,99.60317460317461,98.80952380952381,0.0,90.07936507936508,90.07936507936508,14.1349895240946,0.0,126.7306,114.6749,20.357672101292046,True,True,True,33.47042352117606,31.38174373788551,2026-08-19,135.17,376317690.0,4.54454,8273134,28908.35,Major Pharmaceuticals,0000-00-00,XLV,Healthcare,100,100,77.9445,10,493989,100.0,100.0,100.0,100.0,1118279522.78,True,True,88.85245901639345,,False,False,False,grab,False,False,10.05952380952381,54.38492063492063,305,268,,,,,False,IVR outside 30–70
