tradeDate,ticker,scenario,buy_surface_tier,sell_archetype,buy_first_put_tail_inventory,ranking_score,stockPrice,return_5d_pct,drawdown_20d_pct,extension_50d_pct,relative_return_63d_pct,rs63_cross_section_pct,ivRank1y,iv30d,rr25,rr25_pct252,callskew,callskew_pct252,putskew,putskew_pct252,call_wing_30,call_wing_10,call_wing_10_pct252,call_kink,call_kink_pct252,put_wing_10_pct252,iv10d_pct252,avgOptVolu20d,oi,dollar_stock_volume,confidence_core,mktWidthVol,nextErn,wksNextErn,earnings_near_front_expiry,sector,sectorName,bestEtf,universe_size,liquid_universe_size,chain_confirmed,failure_reason,option_side,expiry,dte,leg1_action,leg1_strike,leg1_delta,leg1_bid,leg1_ask,leg1_oi,leg1_volume,leg2_action,leg2_strike,leg2_bid,leg2_ask,leg2_oi,leg2_volume,spread_width,entry_cash,target_leg2_price,contract_wing_iv_points,event_inside_expiry,long_otm_pct,selection_distance,lower_otm_pct
2026-09-01,U,buy-first call puke,good,,False,66.6468253968254,41.05,-9.421888790820832,-12.807986406117257,15.076895474856864,38.88144964848664,96.18055555555556,4.63,51.9241,2.2106999999999957,74.2063492063492,-0.5741999999999905,15.476190476190476,1.6365000000000052,62.698412698412696,0.2601000000000084,3.5738999999999947,19.84126984126984,2.803299999999993,55.95238095238095,36.904761904761905,1.984126984126984,28183.4,456831,552480910.2,89.9538,5.02802,0000-00-00,9,False,Application Software,Technology,XLK,288,252,True,,call,2026-10-16,46.0,BTO,55.0,0.07877662669452655,0.23,0.36,121.0,70.0,STO,60.0,0.12,0.15,451.0,2.0,5.0,0.24,,,False,,6.482947624847746,33.982947624847746
2026-08-31,RDW,buy-first call puke,,,False,48.948412698412696,10.66,-6.899563318777291,-22.189781021897804,-2.041866534340453,-44.955284362274625,2.0761245674740483,11.95,78.751,-3.6270000000000095,92.46031746031746,2.608699999999999,5.9523809523809526,-1.0183000000000106,82.93650793650794,10.8579,12.213799999999992,23.015873015873016,-3.5885000000000105,30.952380952380953,85.31746031746032,7.5396825396825395,25869.75,263218,178398961.76,84.6008,11.77334,0000-00-00,9,False,Aerospace & Defense Manufacturing,Industrials,XLI,289,251,True,,call,2026-10-16,47.0,BTO,14.0,0.2283075925018356,0.3,0.4,148.0,126.0,STO,19.0,0.05,0.15,33.0,10.0,5.0,0.35000000000000003,,,False,,3.832082551594741,31.33208255159474
2026-09-01,RDW,buy-first call puke,,,False,48.11507936507937,10.27,-10.383944153577673,-25.036496350364967,-5.114749251635309,-45.1899398398231,2.430555555555556,8.23,76.358,-4.222700000000003,88.4920634920635,3.24029999999999,14.682539682539682,-0.9824000000000126,83.33333333333333,13.5107,1.551400000000001,1.5873015873015872,-15.56410000000001,11.904761904761903,51.19047619047619,6.349206349206349,24692.75,279234,171460748.29999998,76.4358,11.40592,0000-00-00,9,False,Aerospace & Defense Manufacturing,Industrials,XLI,288,252,True,,call,2026-10-16,46.0,BTO,13.0,0.25266527005243455,0.35,0.5,318.0,43.0,STO,18.0,0.05,0.1,27.0,5.0,5.0,0.45,,,False,,0.9177215189873351,26.582278481012665
2026-08-28,RGTI,buy-first call puke,,,False,47.22222222222222,15.5,-13.552704963747908,-17.902542372881346,-8.458440131819856,-36.333933401957474,6.597222222222222,0.0,71.9785,-0.1634000000000099,78.96825396825396,0.7019000000000091,13.492063492063492,0.5384999999999991,50.79365079365079,9.587500000000006,17.34850000000001,33.333333333333336,-0.3021999999999991,35.714285714285715,5.9523809523809526,0.0,56318.5,689035,311564616.36,91.3434,8.55374,0000-00-00,10,False,Computer Hardware Manufacturing,Technology,XLK,288,247,True,,call,2026-10-16,50.0,BTO,20.0,0.23737125574242826,0.5,0.56,2020.0,194.0,STO,25.0,0.18,0.21,1696.0,66.0,5.0,0.38000000000000006,,,False,,1.5322580645161246,29.032258064516125
2026-09-02,LUNR,buy-first call puke,,,False,46.6468253968254,14.93,-6.978193146417455,-26.70594010800197,-7.462501549522749,-50.66729431515789,0.6968641114982579,31.26,80.7167,-0.0431999999999987,76.19047619047619,1.1141999999999967,19.444444444444443,1.070999999999998,62.301587301587304,8.738600000000005,3.6018999999999863,4.365079365079365,-12.169000000000011,22.61904761904762,81.34920634920636,4.365079365079365,24286.5,316560,148138046.72,89.8547,9.5553,0000-00-00,9,False,Aerospace & Defense Manufacturing,Industrials,XLI,287,252,True,,call,2026-10-16,45.0,BTO,20.0,0.18995617572770102,0.37,0.43,324.0,62.0,STO,25.0,0.07,0.15,246.0,13.0,5.0,0.36,,,False,,6.458472873409249,33.95847287340925
2026-09-01,SOUN,buy-first call puke,,,False,46.448412698412696,6.92,-1.0014306151645225,-14.250309789343252,3.037522334723053,-16.77163695923476,19.09722222222222,2.23,65.2622,-4.157799999999995,71.03174603174604,3.118799999999993,13.095238095238097,-1.0390000000000017,33.73015873015873,15.047999999999988,16.712099999999992,13.095238095238097,-0.5819000000000045,45.63492063492063,11.11111111111111,3.1746031746031744,66739.6,564644,213374486.96,53.9627,5.37046,0000-00-00,9,False,Application Software,Technology,XLK,288,252,True,,call,2026-10-16,46.0,BTO,9.0,0.1769844645516251,0.14,0.16,16145.0,435.0,STO,14.0,0.03,0.06,4366.0,23.0,5.0,0.13,,,False,,2.5578034682080997,30.0578034682081
2026-08-28,LUNR,buy-first call puke,,,False,45.97222222222222,15.39,-16.540130151843822,-24.447717231222388,-6.952841596130588,-61.063760802732794,0.6944444444444444,37.98,85.99799999999999,-0.9727000000000032,68.65079365079364,0.960400000000007,17.857142857142858,-0.0122999999999962,48.80952380952381,6.506800000000013,16.5878,49.6031746031746,1.6420999999999992,51.58730158730159,30.15873015873016,6.746031746031746,25601.05,324450,170190414.06,87.567,15.24271,0000-00-00,10,False,Aerospace & Defense Manufacturing,Industrials,XLI,288,247,True,,call,2026-10-02,36.0,BTO,20.0,0.21926319064255703,0.36,0.5,178.0,20.0,STO,25.0,0.11,0.16,171.0,36.0,5.0,0.39,,,False,,2.454515919428193,29.954515919428193
2026-09-02,RGTI,buy-first call puke,,,False,45.81349206349206,14.96,-6.849315068493134,-20.762711864406768,-9.750123671287747,-33.82868857241266,7.665505226480835,0.0,67.6452,-2.015599999999992,66.66666666666667,1.4170999999999907,17.063492063492063,-0.5985000000000014,34.92063492063492,14.772599999999995,12.6744,13.88888888888889,-9.394199999999998,13.492063492063492,6.746031746031746,0.0,51548.7,677651,265839840.21,91.89,5.443,0000-00-00,9,False,Computer Hardware Manufacturing,Technology,XLK,287,252,True,,call,2026-10-16,45.0,BTO,20.0,0.17217110146245232,0.3,0.34,2298.0,400.0,STO,25.0,0.1,0.12,1699.0,88.0,5.0,0.24000000000000002,,,False,,6.189839572192511,33.68983957219251
2026-09-01,LUNR,buy-first call puke,,,False,45.41666666666667,14.79,-10.58041112454655,-27.393225331369663,-8.993576017130621,-57.63982488419027,0.6944444444444444,33.08,82.7332,-1.7604000000000042,64.28571428571429,1.2984000000000009,20.238095238095237,-0.4620000000000033,40.87301587301587,8.276300000000006,12.913299999999992,34.523809523809526,-0.0274,46.82539682539682,53.57142857142857,6.349206349206349,24365.45,315085,157576796.16,94.2052,7.76391,0000-00-00,10,False,Aerospace & Defense Manufacturing,Industrials,XLI,288,252,True,,call,2026-10-16,46.0,BTO,19.0,0.24776153309352744,0.51,0.57,200.0,13.0,STO,24.0,0.1,0.21,30.0,9.0,5.0,0.47,,,False,,0.9651791751183261,28.465179175118326
2026-09-02,SOUN,buy-first call puke,,,False,44.82142857142858,6.84,-2.840909090909094,-15.241635687732346,1.7402945113788482,-11.291517210627468,22.99651567944251,0.68,64.5869,-4.92619999999998,61.111111111111114,4.44789999999999,25.79365079365079,-0.4782999999999902,40.476190476190474,18.09490000000001,15.755500000000003,9.126984126984128,-3.7188000000000017,35.317460317460316,46.42857142857143,3.5714285714285716,65323.0,576032,204771673.75,54.0416,6.09828,0000-00-00,9,False,Application Software,Technology,XLK,287,252,True,,call,2026-10-16,45.0,BTO,9.0,0.16907988886378955,0.14,0.16,16238.0,458.0,STO,14.0,0.02,0.06,4370.0,0.0,5.0,0.14,,,False,,4.078947368421062,31.578947368421062
