tradeDate,ticker,scenario,buy_surface_tier,sell_archetype,buy_first_put_tail_inventory,ranking_score,stockPrice,return_5d_pct,drawdown_20d_pct,extension_50d_pct,relative_return_63d_pct,rs63_cross_section_pct,ivRank1y,iv30d,rr25,rr25_pct252,callskew,callskew_pct252,putskew,putskew_pct252,call_wing_30,call_wing_10,call_wing_10_pct252,call_kink,call_kink_pct252,put_wing_10_pct252,iv10d_pct252,avgOptVolu20d,oi,dollar_stock_volume,confidence_core,mktWidthVol,nextErn,wksNextErn,earnings_near_front_expiry,sector,sectorName,bestEtf,universe_size,liquid_universe_size
2026-08-24,AA,buy-first put-tail inventory,,,True,29.887301587301586,48.97,-5.408537763183318,-8.72320596458528,-2.5565717105629826,-30.108384673557154,8.304498269896193,26.7,50.4919,0.04570000000000363,24.206349206349206,0.4368999999999943,60.714285714285715,0.4825999999999979,17.857142857142858,3.2382999999999953,5.079000000000001,59.12698412698413,4.4131,67.85714285714286,40.87301587301587,28.174603174603174,15247.85,244762,266709503.95000002,91.2266,5.57212,0000-00-00,7,False,Aluminum,Materials,XLB,289,256
2026-08-24,AAL,buy-first put-tail inventory,,,True,39.581428571428575,13.66,-5.79310344827586,-18.203592814371248,-13.25001270131585,-0.6799052118884097,38.4083044982699,23.99,44.243300000000005,-0.014800000000001035,3.1746031746031744,1.0864999999999938,92.06349206349206,1.0716999999999928,3.9682539682539684,5.097199999999994,4.927799999999998,56.34920634920635,-1.6567000000000007,31.349206349206348,2.7777777777777777,15.476190476190476,61194.6,1854864,798637678.08,86.7406,3.18147,0000-00-00,8,False,Airlines,Industrials,XLI,289,256
2026-08-24,AAP,buy-first put-tail inventory,,,True,52.69682539682539,43.31,-23.250044302675875,-27.35659174773565,-22.945814771061357,-22.321159704879356,13.84083044982699,7.7,47.5931,0.37069999999999936,13.095238095238095,1.5484000000000009,68.25396825396825,1.9191000000000003,9.920634920634921,11.114500000000007,8.880800000000008,37.301587301587304,-0.0012000000000043087,46.03174603174603,24.206349206349206,14.285714285714286,8977.85,83246,95781836.47999999,90.2541,8.65602,0000-00-00,10,False,Automotive Parts & Components,C. Cyclical,XLY,289,256
2026-08-24,ABNB,buy-first put-tail inventory,,,True,25.207619047619048,190.28,5.8404716876182095,0.0,22.90274742025662,45.555113428158435,94.80968858131487,28.84,30.799500000000002,2.334199999999999,30.158730158730158,-0.8095999999999997,63.888888888888886,1.5245999999999995,24.603174603174605,-0.24720000000000297,0.09509999999999508,42.46031746031746,1.4024999999999999,55.95238095238095,21.825396825396826,30.555555555555557,21230.35,224443,983813665.7,96.7976,2.6712,0000-00-00,10,False,Travel & Tourism Services,C. Cyclical,XLY,289,256
2026-08-24,AFRM,buy-first put-tail inventory,,,True,44.423809523809524,76.91,2.6287696824125906,-2.805509920384175,0.13775288330586388,19.792168845858992,79.58477508650519,15.1,69.5686,1.7934999999999945,13.88888888888889,-0.4264999999999972,80.55555555555556,1.3669999999999973,13.492063492063492,0.6174000000000035,1.8900000000000148,71.82539682539682,31.873000000000005,92.46031746031746,14.285714285714286,86.9047619047619,11135.7,202860,221666072.77,90.2469,9.77366,0000-00-00,0,True,Credit & Lending Services,Industrials,XLI,289,256
2026-08-24,AG,buy-first put-tail inventory,,,True,30.159999999999997,20.84,5.840528186896887,-1.4657210401891163,19.35853379152348,8.67073801331706,59.515570934256054,29.84,68.6332,-8.115399999999994,22.22222222222222,5.487099999999998,56.74603174603175,-2.628299999999996,2.7777777777777777,14.5856,13.189400000000006,23.41269841269841,1.7879999999999967,60.317460317460316,3.1746031746031744,35.714285714285715,45916.85,916403,234167521.41,83.3938,7.29617,0000-00-00,9,False,Silver,Materials,XLB,289,256
2026-08-24,ALAB,buy-first put-tail inventory,,,True,23.572380952380954,277.73,-14.3495960032073,-23.622913400984512,-20.560961517559374,-7.77540190115098,23.875432525951556,32.38,83.6371,-0.18649999999999523,28.174603174603174,0.4689999999999941,59.12698412698413,0.28249999999999886,17.063492063492063,4.120199999999997,4.952499999999986,60.714285714285715,7.103799999999993,75.7936507936508,3.9682539682539684,50.79365079365079,23982.3,218973,1342940502.96,98.9549,6.71606,0000-00-00,10,False,Semiconductors,Technology,XLK,289,256
2026-08-24,ALB,buy-first put-tail inventory,,,True,51.91047619047619,141.73,5.508821558847599,-0.9089002307208327,7.092447235831578,-16.02901623252382,18.685121107266436,9.28,49.3495,-1.3612000000000037,12.301587301587302,0.8316000000000017,69.84126984126983,-0.5296000000000021,6.746031746031746,4.420300000000005,3.4768000000000043,47.22222222222222,2.633499999999998,65.47619047619048,18.253968253968253,15.079365079365079,5712.45,190325,330196980.0,95.4792,9.27461,0000-00-00,10,False,Specialized Chemicals,Materials,XLB,289,256
2026-08-24,AMD,buy-first put-tail inventory,,,True,21.202539682539683,455.92,-10.051887071635724,-13.584412138213386,-10.50361542466025,-0.9870484280951053,37.71626297577855,33.48,53.107800000000005,-0.12240000000000606,33.333333333333336,0.3691000000000031,50.0,0.24669999999999703,18.253968253968253,3.3877999999999986,3.6680999999999955,45.63492063492063,-0.47460000000000235,40.87301587301587,32.142857142857146,30.555555555555557,515261.35,3008699,12470313549.0,98.3204,1.93593,0000-00-00,10,False,Semiconductors,Technology,XLK,289,256
2026-08-24,APA,buy-first put-tail inventory,,,True,38.976190476190474,42.89,3.4241620448516974,-3.487848784878478,18.29635595370749,11.953378373065448,66.43598615916954,21.5,42.235299999999995,0.4748000000000019,15.873015873015873,0.24850000000000705,52.77777777777778,0.7233000000000089,6.746031746031746,1.8479000000000028,2.488800000000005,10.317460317460318,3.9491000000000014,61.904761904761905,11.904761904761905,44.84126984126984,8005.1,210962,257945826.58,96.2302,6.2727,0000-00-00,10,False,Oil & Gas Exploration,Energy,XLE,289,256
2026-08-24,APO,buy-first put-tail inventory,,,True,30.238730158730156,132.49,-2.3079191859607717,-7.884307863449913,4.442738198656415,4.904176628848145,50.86505190311419,29.92,34.5149,2.7487000000000066,9.920634920634921,-0.6965000000000003,88.4920634920635,2.0522000000000062,14.285714285714286,-0.0969999999999942,5.935199999999995,81.74603174603175,8.367399999999996,81.34920634920636,13.88888888888889,37.698412698412696,6634.75,275492,526036103.31,95.1921,5.61463,0000-00-00,10,False,Investment Management,Financials,XLF,289,256
2026-08-24,APP,buy-first put-tail inventory,,,True,49.95174603174603,299.39,-3.537713052163549,-28.498758119984725,-29.355228123693365,-36.21770822707431,4.844290657439446,11.08,53.3211,0.040399999999998215,8.73015873015873,0.7573000000000008,94.04761904761905,0.797699999999999,11.11111111111111,6.2708999999999975,5.701500000000003,79.76190476190476,1.2261999999999986,45.23809523809524,4.761904761904762,16.666666666666668,44619.45,336686,2196027297.66,97.9974,3.39819,0000-00-00,10,False,Advertising & Marketing Services,Technology,XLK,289,256
2026-08-24,AVGO,buy-first put-tail inventory,,,True,45.64698412698412,359.53,-8.57469802924349,-15.521981249559435,-7.453455160242751,-11.183661897581864,21.453287197231834,18.48,50.3472,-1.9558000000000035,2.380952380952381,1.2760999999999996,97.61904761904762,-0.679700000000004,1.9841269841269842,4.4439999999999955,3.708599999999997,82.53968253968254,1.5082000000000022,62.301587301587304,2.7777777777777777,75.39682539682539,225702.35,2066713,7231562623.25,98.6473,1.6465,0000-00-00,1,True,Semiconductors,Technology,XLK,289,256
2026-08-24,AXP,buy-first put-tail inventory,,,True,45.30412698412698,337.74,0.2582598628551036,-3.337149398969652,-1.4705032898594705,9.639351026647812,63.32179930795848,16.68,23.9797,1.2690999999999981,7.142857142857143,-0.3183000000000007,89.68253968253968,0.9507999999999974,7.936507936507937,0.21340000000000003,1.5278000000000027,81.34920634920636,2.5473999999999997,69.84126984126983,14.285714285714286,26.19047619047619,12943.15,232537,932715168.0,97.8511,1.71976,0000-00-00,8,False,Credit & Lending Services,Financials,XLF,289,256
2026-08-24,BAC,buy-first put-tail inventory,,,True,38.30063492063492,62.42,-2.4687499999999973,-3.7767843379065913,2.9160085340156794,22.134083223767973,81.66089965397923,21.62,20.5659,2.6885000000000012,16.26984126984127,-1.0729000000000006,59.12698412698413,1.6156000000000006,9.126984126984127,-1.1374999999999993,-1.3480999999999987,16.666666666666668,1.2763000000000027,55.95238095238095,9.920634920634921,25.0,108655.3,2251718,1718943053.21,91.7237,1.29409,0000-00-00,7,False,Diversified Banking,Financials,XLF,289,256
2026-08-24,BE,buy-first put-tail inventory,,,True,48.3968253968254,203.59,-13.207144988702723,-14.60509206828572,-15.828145374744384,-31.355008120112295,7.612456747404845,12.0,90.3418,-5.328299999999999,13.492063492063492,3.442999999999998,84.52380952380952,-1.8853000000000009,9.523809523809524,10.616199999999992,11.227800000000002,79.36507936507937,6.837000000000003,73.41269841269842,6.349206349206349,14.682539682539682,136428.6,842368,3354753900.75,98.6176,5.06238,0000-00-00,9,False,Electrical Equipment Manufacturing,Industrials,XLI,289,256
