expiry,strike,dte,stock,delta,otm_pct,bid,ask,quote_width,width_pct_of_bid,oi,wing_mid_excess_points,wing_bid_excess_points,nearer_strike,nearer_ask,event_inside_estimate,all_original_contract_gates,without_delta_band,without_absolute_width,ticker,tradeDate,ivRank1y,rr25_pct252,call_wing_10_pct252,call_kink_pct252,original_surface_pass,grab_surface_pass,original_surface_exclusions,earnings_near_front_expiry,event_estimate_available,distance,band,eligible_contracts,front_5_12_contracts,fallback_13_19_contracts,nearer_delta,nearer_otm_pct,nearer_bid,nearer_oi,atm_iv_pct,bid_iv_pct,otm_in_atm_expected_moves,deferred_expiry,front_bid_minus_deferred_mid_points,deferred_event_inside_estimate
2026-08-21,45.0,11,30.97,0.08141824481530738,45.30190506942202,0.25,0.31,0.06,24.0,9968,26.67500688264748,22.9518737685509,44.0,0.31,False,False,True,False,SMCI,2026-08-11,64.95,3.1746031746031744,98.41269841269842,99.60317460317461,False,False,five-day return <=0,False,True,0.04141824481530738,2–10,2,2,0,0.0940474540616624,42.07297384565709,0.3,2263,124.58460754007655,147.53648130862743,2.0946051494161804,2026-09-04,30.69083090301321,False
2026-08-21,45.0,11,30.97,0.08141824481530738,45.30190506942202,0.25,0.31,0.06,24.0,9968,26.67500688264748,22.9518737685509,44.0,0.31,False,False,True,False,SMCI,2026-08-11,64.95,3.1746031746031744,98.41269841269842,99.60317460317461,False,False,five-day return <=0,False,True,0.04141824481530738,1–10,2,2,0,0.0940474540616624,42.07297384565709,0.3,2263,124.58460754007655,147.53648130862743,2.0946051494161804,2026-09-04,30.69083090301321,False
2026-08-21,45.0,11,30.97,0.08141824481530738,45.30190506942202,0.25,0.31,0.06,24.0,9968,26.67500688264748,22.9518737685509,44.0,0.31,False,False,True,False,SMCI,2026-08-11,64.95,3.1746031746031744,98.41269841269842,99.60317460317461,False,False,five-day return <=0,False,True,0.04141824481530738,2–15,5,4,1,0.0940474540616624,42.07297384565709,0.3,2263,124.58460754007655,147.53648130862743,2.0946051494161804,2026-09-04,30.69083090301321,False
2026-08-17,315.0,6,301.54,0.05947968356395086,4.4637527359554285,0.2,0.24,0.03999999999999998,19.99999999999999,2578,2.967462847142091,2.5152484822252603,312.5,0.37,False,True,True,True,AAPL,2026-08-12,41.5,3.9682539682539684,97.61904761904762,66.26984126984127,False,False,kink rank <70; five-day return <=0; more than 5% below 20-day high,False,True,0.019479683563950856,2–6,4,3,1,0.09551641637147475,3.634675333289117,0.3,1121,20.62349051027,23.13873899249526,1.6881411846465102,2026-09-04,-1.4248152247475416,False
2026-08-17,315.0,6,301.54,0.05947968356395086,4.4637527359554285,0.2,0.24,0.03999999999999998,19.99999999999999,2578,2.967462847142091,2.5152484822252603,312.5,0.37,False,True,True,True,AAPL,2026-08-12,41.5,3.9682539682539684,97.61904761904762,66.26984126984127,False,False,kink rank <70; five-day return <=0; more than 5% below 20-day high,False,True,0.019479683563950856,2–8,5,4,1,0.09551641637147475,3.634675333289117,0.3,1121,20.62349051027,23.13873899249526,1.6881411846465102,2026-09-04,-1.4248152247475416,False
2026-08-17,315.0,6,301.54,0.05947968356395086,4.4637527359554285,0.2,0.24,0.03999999999999998,19.99999999999999,2578,2.967462847142091,2.5152484822252603,312.5,0.37,False,True,True,True,AAPL,2026-08-12,41.5,3.9682539682539684,97.61904761904762,66.26984126984127,False,False,kink rank <70; five-day return <=0; more than 5% below 20-day high,False,True,0.019479683563950856,2–10,5,4,1,0.09551641637147475,3.634675333289117,0.3,1121,20.62349051027,23.13873899249526,1.6881411846465102,2026-09-04,-1.4248152247475416,False
2026-08-17,315.0,6,301.54,0.05947968356395086,4.4637527359554285,0.2,0.24,0.03999999999999998,19.99999999999999,2578,2.967462847142091,2.5152484822252603,312.5,0.37,False,True,True,True,AAPL,2026-08-12,41.5,3.9682539682539684,97.61904761904762,66.26984126984127,False,False,kink rank <70; five-day return <=0; more than 5% below 20-day high,False,True,0.019479683563950856,1–10,5,4,1,0.09551641637147475,3.634675333289117,0.3,1121,20.62349051027,23.13873899249526,1.6881411846465102,2026-09-04,-1.4248152247475416,False
2026-08-17,315.0,6,301.54,0.05947968356395086,4.4637527359554285,0.2,0.24,0.03999999999999998,19.99999999999999,2578,2.967462847142091,2.5152484822252603,312.5,0.37,False,True,True,True,AAPL,2026-08-12,41.5,3.9682539682539684,97.61904761904762,66.26984126984127,False,False,kink rank <70; five-day return <=0; more than 5% below 20-day high,False,True,0.019479683563950856,2–15,5,4,1,0.09551641637147475,3.634675333289117,0.3,1121,20.62349051027,23.13873899249526,1.6881411846465102,2026-09-04,-1.4248152247475416,False
2026-08-21,80.0,10,72.44,0.13373656017800437,10.436223081170626,0.4,0.47,0.06999999999999995,17.49999999999999,2838,2.1270909275073135,0.7263011127940366,79.0,0.57,False,False,True,False,CVNA,2026-08-12,22.36,0.0,90.87301587301587,46.42857142857143,False,False,kink rank <70; IVR outside 30–70,False,True,0.09373656017800436,2–15,1,1,0,0.16636075333700542,9.055770292655986,0.48,168,53.562286179418116,54.288587292212156,1.177146946809463,2026-09-04,0.8340834595478186,False
2026-08-21,47.0,10,40.88,0.13698904750529073,14.970645792563598,0.27,0.31,0.03999999999999998,14.814814814814806,189,9.402077936904318,7.909295264772121,46.5,0.52,False,False,True,False,ENPH,2026-08-12,30.4,27.38095238095238,94.04761904761905,75.7936507936508,False,False,local RR rank >10; opposite put-wing rank >=70,False,True,0.09698904750529072,2–15,1,1,0,0.1520093961699842,13.747553816046953,0.26,38,63.76194980629326,71.67124507106539,1.418487059409939,2026-09-04,-6.291831501188028,False
