ts,mode,tier,session_date,config_hash,schema_v,event_type,rule_id,branch,side,s0,expiry,leg_strikes,strike_quote_ts,run,rate,dC,dP,share,r15,pull30,bounce30,context,health,outcome_type,outcome_minutes,exit_ref,cap_source,resolution_debit,adverse,trade_id,entry_min,signal_min,entry_option_mid,resting_limit_ref,target,bh_level,entry_L,cap_value,episode,k1,k2,leg1_fill,limit_price,limit_status,limit_cancel_reason,first_eligible_min,leg2_fill,credit,quote_age,quote_gap_streak,last_valid_bid,last_valid_ask,last_valid_quote_min,data_invalid,leg_liq_loss_usd,spx_adverse_pts,pnl_usd,notes
2026-09-02 --:--,backtest,full,2026-09-02,80c3a41026c85cedace4d5e671b3b0c4f355c49829796b612bdb51287aa1d062,2,banner,R8.2,,,,,,,,,,,,,,,,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,session start | CONFIG_HASH=80c3a41026c8… | mode=backtest tier=full
2026-09-02 --:--,backtest,full,2026-09-02,80c3a41026c85cedace4d5e671b3b0c4f355c49829796b612bdb51287aa1d062,2,banner,R4.2,,,,,,,,,,,,,,,,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LEVELS MISSING → LONG-FIRST ONLY
2026-09-02 09:30,backtest,full,2026-09-02,80c3a41026c85cedace4d5e671b3b0c4f355c49829796b612bdb51287aa1d062,2,outage,R10,,,,,,,,,,,,,,,,DEGRADED_VWAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPY missing — context reads degrade to CHOP (degraded_vwap)
2026-09-02 09:30,backtest,full,2026-09-02,80c3a41026c85cedace4d5e671b3b0c4f355c49829796b612bdb51287aa1d062,2,veto_change,R4,,,,,,,,,,,,,,,,DEGRADED_VWAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vetoes: vt_broken=False levels_invalid=True flow_veto=False
2026-09-02 09:55,backtest,full,2026-09-02,80c3a41026c85cedace4d5e671b3b0c4f355c49829796b612bdb51287aa1d062,2,veto_change,R4,,,,,,,,,,,,,,,,DEGRADED_VWAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vetoes: vt_broken=False levels_invalid=True flow_veto=True
2026-09-02 09:56,backtest,full,2026-09-02,80c3a41026c85cedace4d5e671b3b0c4f355c49829796b612bdb51287aa1d062,2,veto_change,R4,,,,,,,,,,,,,,,,DEGRADED_VWAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vetoes: vt_broken=False levels_invalid=True flow_veto=False
2026-09-02 10:30,backtest,full,2026-09-02,80c3a41026c85cedace4d5e671b3b0c4f355c49829796b612bdb51287aa1d062,2,state_line,R3.4,,,,,,,,,,,,,,,CHOP,DEGRADED_VWAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:30 context read: CHOP
2026-09-02 10:46,backtest,full,2026-09-02,80c3a41026c85cedace4d5e671b3b0c4f355c49829796b612bdb51287aa1d062,2,skip,R6.4,B,,,,,,1.124855158,5.19163919076923,0.3068475230000003,0.8180076350000001,0.6545106263361239,0.7968718799999999,3.8299999999999272,13.949999999999818,,DEGRADED_VWAP,,,,,,,,,646,,,,,,,1,,,,,,,,,,,,,,,,,,,skip: short blocked: levels_invalid (R4)
2026-09-02 10:50,backtest,full,2026-09-02,80c3a41026c85cedace4d5e671b3b0c4f355c49829796b612bdb51287aa1d062,2,signal,R6.1,A,long_first,,,,,0.0,0.0,0.0,0.0,,-0.7253740340000006,8.029999999999745,4.1899999999996,,DEGRADED_VWAP,,,,,,,,,650,,,,7681.0,,,1,,,,,,,,,,,,,,,,,,,SIGNAL A LONG-FIRST | BUY nearest -0.20Δ put (no chain feed) | range60=44.45>=p75 19.94 r30=-0.61 bounce30=4.19 close<mid30=7674.26
2026-09-02 10:50,backtest,full,2026-09-02,80c3a41026c85cedace4d5e671b3b0c4f355c49829796b612bdb51287aa1d062,2,pending_entry,R6.1,A,long_first,,2026-10-02,7425/7420,,,,,,,,,,,DEGRADED_VWAP,,,,,,,,,650,,,,,,,1,7425.0,7420.0,,,,,,,,,,,,,,,,,
