name,side,n,days,f3,f5,b3,b5,t3_med,f3_15,adv10,badv
E1 put absorption @ VT/PW (sell-first),sell,9,2.0,0.7777777777777778,0.4444444444444444,0.7638888888888888,0.5833333333333333,7.0,0.5555555555555556,0.2222222222222222,0.12499999999999997
"E1-CONTROL shock @ level, no absorption",sell,8,2.0,0.5,0.375,0.609375,0.46875,3.5,0.5,0.375,0.234375
E2 de-gross bounce failure (long-first),long,9,6.0,1.0,0.6666666666666666,0.7222222222222222,0.5555555555555555,8.0,0.6666666666666666,0.0,0.11111111111111108
"E2-CONTROL bounce, no C/P divergence",long,19,7.0,0.8421052631578947,0.5263157894736842,0.75,0.5921052631578947,8.5,0.5789473684210527,0.15789473684210525,0.15789473684210525
E3a retail capitulation → sell-first,sell,3,2.0,0.6666666666666666,0.3333333333333333,0.7083333333333333,0.37499999999999994,26.0,0.3333333333333333,0.0,0.041666666666666664
E3b retail chase → long-first,,0,,,,,,,,,
"E3-CONTROL capitulation, basket agrees",sell,5,3.0,1.0,0.6,0.7357142857142859,0.5321428571428571,27.0,0.4,0.0,0.16071428571428573
E4 post-shock vacuum (sell-first),sell,25,7.0,0.76,0.56,0.62,0.46285714285714286,9.0,0.56,0.2,0.19714285714285715
"E4-CONTROL shock, flow still active",sell,35,8.0,0.7714285714285715,0.5428571428571428,0.6923469387755103,0.4872448979591837,9.0,0.5428571428571428,0.14285714285714285,0.17959183673469387
