W,cons,r2,ddn,mag,cp,nx,pc,p,n_up,n_dn,days_up,days_dn,ep_up,ep_dn,fill_up,fill_dn,advS15_up,advL15_dn,ttf_up,ttf_dn,base_fill_up,base_adv15_up,base_fill_dn,base_adv15_dn,lift_up,lift_dn
15,0.6,0.7,0.25,1.0,False,True,False,3.0,14,5,4,3,7,4,0.5714285714285714,0.4,0.0,0.0,4.0,25.5,0.4142857142857144,0.014285714285714289,0.48000000000000004,0.0,0.15714285714285697,-0.08000000000000002
15,0.6,0.7,0.25,1.0,False,True,False,5.0,8,0,3,0,3,0,0.375,,0.0,,5.0,,0.4,0.0,,,-0.025000000000000022,
15,0.6,0.7,0.25,1.0,False,True,False,8.0,2,0,1,0,1,0,1.0,,0.0,,7.0,,0.6,0.0,,,0.4,
15,0.6,0.7,0.25,1.0,False,True,True,3.0,12,5,4,3,7,4,0.6666666666666666,0.4,0.0,0.0,4.0,25.5,0.45,0.016666666666666666,0.48000000000000004,0.0,0.21666666666666662,-0.08000000000000002
15,0.6,0.7,0.25,1.0,False,True,True,5.0,6,0,3,0,3,0,0.5,,0.0,,5.0,,0.4666666666666667,0.0,,,0.033333333333333326,
15,0.6,0.7,0.25,1.0,False,True,True,8.0,2,0,1,0,1,0,1.0,,0.0,,7.0,,0.6,0.0,,,0.4,
15,0.6,0.7,0.25,1.0,True,False,False,3.0,11,5,3,3,6,4,0.7272727272727273,0.4,0.0,0.0,4.0,25.5,0.4727272727272727,0.01818181818181818,0.48000000000000004,0.0,0.2545454545454546,-0.08000000000000002
15,0.6,0.7,0.25,1.0,True,False,False,5.0,5,0,2,0,2,0,0.6,,0.0,,5.0,,0.52,0.0,,,0.07999999999999996,
15,0.6,0.7,0.25,1.0,True,False,False,8.0,2,0,1,0,1,0,1.0,,0.0,,7.0,,0.6,0.0,,,0.4,
15,0.6,0.7,0.25,1.0,True,False,True,3.0,11,5,3,3,6,4,0.7272727272727273,0.4,0.0,0.0,4.0,25.5,0.4727272727272727,0.01818181818181818,0.48000000000000004,0.0,0.2545454545454546,-0.08000000000000002
15,0.6,0.7,0.25,1.0,True,False,True,5.0,5,0,2,0,2,0,0.6,,0.0,,5.0,,0.52,0.0,,,0.07999999999999996,
15,0.6,0.7,0.25,1.0,True,False,True,8.0,2,0,1,0,1,0,1.0,,0.0,,7.0,,0.6,0.0,,,0.4,
15,0.6,0.7,0.25,1.0,True,True,False,3.0,11,5,3,3,6,4,0.7272727272727273,0.4,0.0,0.0,4.0,25.5,0.4727272727272727,0.01818181818181818,0.48000000000000004,0.0,0.2545454545454546,-0.08000000000000002
15,0.6,0.7,0.25,1.0,True,True,False,5.0,5,0,2,0,2,0,0.6,,0.0,,5.0,,0.52,0.0,,,0.07999999999999996,
15,0.6,0.7,0.25,1.0,True,True,False,8.0,2,0,1,0,1,0,1.0,,0.0,,7.0,,0.6,0.0,,,0.4,
15,0.6,0.7,0.25,1.0,True,True,True,3.0,11,5,3,3,6,4,0.7272727272727273,0.4,0.0,0.0,4.0,25.5,0.4727272727272727,0.01818181818181818,0.48000000000000004,0.0,0.2545454545454546,-0.08000000000000002
15,0.6,0.7,0.25,1.0,True,True,True,5.0,5,0,2,0,2,0,0.6,,0.0,,5.0,,0.52,0.0,,,0.07999999999999996,
15,0.6,0.7,0.25,1.0,True,True,True,8.0,2,0,1,0,1,0,1.0,,0.0,,7.0,,0.6,0.0,,,0.4,
15,0.6,0.7,0.25,2.0,False,False,False,3.0,2,0,2,0,2,0,0.0,,0.0,,,,0.2,0.0,,,-0.2,
15,0.6,0.7,0.25,2.0,False,False,False,5.0,1,0,1,0,1,0,0.0,,0.0,,,,0.2,0.0,,,-0.2,
15,0.6,0.7,0.25,2.0,False,False,False,8.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.6,0.7,0.25,2.0,False,False,True,3.0,2,0,2,0,2,0,0.0,,0.0,,,,0.2,0.0,,,-0.2,
15,0.6,0.7,0.25,2.0,False,False,True,5.0,1,0,1,0,1,0,0.0,,0.0,,,,0.2,0.0,,,-0.2,
15,0.6,0.7,0.25,2.0,False,False,True,8.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.6,0.7,0.25,2.0,False,True,False,3.0,2,0,2,0,2,0,0.0,,0.0,,,,0.2,0.0,,,-0.2,
15,0.6,0.7,0.25,2.0,False,True,False,5.0,1,0,1,0,1,0,0.0,,0.0,,,,0.2,0.0,,,-0.2,
15,0.6,0.7,0.25,2.0,False,True,False,8.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.6,0.7,0.25,2.0,False,True,True,3.0,2,0,2,0,2,0,0.0,,0.0,,,,0.2,0.0,,,-0.2,
15,0.6,0.7,0.25,2.0,False,True,True,5.0,1,0,1,0,1,0,0.0,,0.0,,,,0.2,0.0,,,-0.2,
15,0.6,0.7,0.25,2.0,False,True,True,8.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.6,0.7,0.25,2.0,True,False,False,3.0,1,0,1,0,1,0,0.0,,0.0,,,,0.2,0.0,,,-0.2,
15,0.6,0.7,0.25,2.0,True,False,False,5.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.6,0.7,0.25,2.0,True,False,False,8.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.6,0.7,0.25,2.0,True,False,True,3.0,1,0,1,0,1,0,0.0,,0.0,,,,0.2,0.0,,,-0.2,
15,0.6,0.7,0.25,2.0,True,False,True,5.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.6,0.7,0.25,2.0,True,False,True,8.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.6,0.7,0.25,2.0,True,True,False,3.0,1,0,1,0,1,0,0.0,,0.0,,,,0.2,0.0,,,-0.2,
15,0.6,0.7,0.25,2.0,True,True,False,5.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.6,0.7,0.25,2.0,True,True,False,8.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.6,0.7,0.25,2.0,True,True,True,3.0,1,0,1,0,1,0,0.0,,0.0,,,,0.2,0.0,,,-0.2,
15,0.6,0.7,0.25,2.0,True,True,True,5.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.6,0.7,0.25,2.0,True,True,True,8.0,0,0,0,0,0,0,,,,,,,,,,,,
15,0.6,0.7,0.5,0.5,False,False,False,3.0,24,8,4,3,12,6,0.4583333333333333,0.375,0.0,0.0,5.0,25.0,0.37500000000000006,0.01666666666666667,0.5250000000000001,0.0,0.08333333333333326,-0.15000000000000013
15,0.6,0.7,0.5,0.5,False,False,False,5.0,12,1,3,1,4,1,0.25,0.0,0.0,0.0,5.0,,0.31666666666666665,0.0,0.4,0.0,-0.06666666666666665,-0.4
15,0.6,0.7,0.5,0.5,False,False,False,8.0,2,1,1,1,1,1,1.0,0.0,0.0,0.0,7.0,,0.6,0.0,0.4,0.0,0.4,-0.4
15,0.6,0.7,0.5,0.5,False,False,True,3.0,21,7,4,3,12,5,0.5238095238095238,0.2857142857142857,0.0,0.0,5.0,25.5,0.40000000000000013,0.019047619047619053,0.4857142857142857,0.0,0.1238095238095237,-0.2
15,0.6,0.7,0.5,0.5,False,False,True,5.0,9,1,3,1,4,1,0.3333333333333333,0.0,0.0,0.0,5.0,,0.35555555555555546,0.0,0.4,0.0,-0.022222222222222143,-0.4
15,0.6,0.7,0.5,0.5,False,False,True,8.0,2,1,1,1,1,1,1.0,0.0,0.0,0.0,7.0,,0.6,0.0,0.4,0.0,0.4,-0.4
15,0.6,0.7,0.5,0.5,False,True,False,3.0,24,8,4,3,12,6,0.4583333333333333,0.375,0.0,0.0,5.0,25.0,0.37500000000000006,0.01666666666666667,0.5250000000000001,0.0,0.08333333333333326,-0.15000000000000013
15,0.6,0.7,0.5,0.5,False,True,False,5.0,12,1,3,1,4,1,0.25,0.0,0.0,0.0,5.0,,0.31666666666666665,0.0,0.4,0.0,-0.06666666666666665,-0.4
15,0.6,0.7,0.5,0.5,False,True,False,8.0,2,1,1,1,1,1,1.0,0.0,0.0,0.0,7.0,,0.6,0.0,0.4,0.0,0.4,-0.4
15,0.6,0.7,0.5,0.5,False,True,True,3.0,21,7,4,3,12,5,0.5238095238095238,0.2857142857142857,0.0,0.0,5.0,25.5,0.40000000000000013,0.019047619047619053,0.4857142857142857,0.0,0.1238095238095237,-0.2
15,0.6,0.7,0.5,0.5,False,True,True,5.0,9,1,3,1,4,1,0.3333333333333333,0.0,0.0,0.0,5.0,,0.35555555555555546,0.0,0.4,0.0,-0.022222222222222143,-0.4
15,0.6,0.7,0.5,0.5,False,True,True,8.0,2,1,1,1,1,1,1.0,0.0,0.0,0.0,7.0,,0.6,0.0,0.4,0.0,0.4,-0.4
15,0.6,0.7,0.5,0.5,True,False,False,3.0,20,8,3,3,11,6,0.55,0.375,0.0,0.0,5.0,25.0,0.4100000000000001,0.020000000000000004,0.5250000000000001,0.0,0.13999999999999996,-0.15000000000000013
15,0.6,0.7,0.5,0.5,True,False,False,5.0,8,1,2,1,3,1,0.375,0.0,0.0,0.0,5.0,,0.375,0.0,0.4,0.0,0.0,-0.4
15,0.6,0.7,0.5,0.5,True,False,False,8.0,2,1,1,1,1,1,1.0,0.0,0.0,0.0,7.0,,0.6,0.0,0.4,0.0,0.4,-0.4
15,0.6,0.7,0.5,0.5,True,False,True,3.0,20,7,3,3,11,5,0.55,0.2857142857142857,0.0,0.0,5.0,25.5,0.4100000000000001,0.020000000000000004,0.4857142857142857,0.0,0.13999999999999996,-0.2
15,0.6,0.7,0.5,0.5,True,False,True,5.0,8,1,2,1,3,1,0.375,0.0,0.0,0.0,5.0,,0.375,0.0,0.4,0.0,0.0,-0.4
15,0.6,0.7,0.5,0.5,True,False,True,8.0,2,1,1,1,1,1,1.0,0.0,0.0,0.0,7.0,,0.6,0.0,0.4,0.0,0.4,-0.4
15,0.6,0.7,0.5,0.5,True,True,False,3.0,20,8,3,3,11,6,0.55,0.375,0.0,0.0,5.0,25.0,0.4100000000000001,0.020000000000000004,0.5250000000000001,0.0,0.13999999999999996,-0.15000000000000013
15,0.6,0.7,0.5,0.5,True,True,False,5.0,8,1,2,1,3,1,0.375,0.0,0.0,0.0,5.0,,0.375,0.0,0.4,0.0,0.0,-0.4
15,0.6,0.7,0.5,0.5,True,True,False,8.0,2,1,1,1,1,1,1.0,0.0,0.0,0.0,7.0,,0.6,0.0,0.4,0.0,0.4,-0.4
15,0.6,0.7,0.5,0.5,True,True,True,3.0,20,7,3,3,11,5,0.55,0.2857142857142857,0.0,0.0,5.0,25.5,0.4100000000000001,0.020000000000000004,0.4857142857142857,0.0,0.13999999999999996,-0.2
15,0.6,0.7,0.5,0.5,True,True,True,5.0,8,1,2,1,3,1,0.375,0.0,0.0,0.0,5.0,,0.375,0.0,0.4,0.0,0.0,-0.4
15,0.6,0.7,0.5,0.5,True,True,True,8.0,2,1,1,1,1,1,1.0,0.0,0.0,0.0,7.0,,0.6,0.0,0.4,0.0,0.4,-0.4
15,0.6,0.7,0.5,1.0,False,False,False,3.0,15,7,4,3,7,5,0.5333333333333333,0.2857142857142857,0.0,0.0,4.0,25.5,0.39999999999999997,0.013333333333333332,0.4857142857142857,0.0,0.13333333333333336,-0.2
15,0.6,0.7,0.5,1.0,False,False,False,5.0,9,1,3,1,3,1,0.3333333333333333,0.0,0.0,0.0,5.0,,0.3777777777777777,0.0,0.4,0.0,-0.0444444444444444,-0.4
