day,min,pe,f3,f5,t3,t5,adv
2026-08-13,701,7783.57,1.0,1.0,8.0,11.0,2.790000000000873
2026-08-14,642,7793.08,1.0,1.0,17.0,26.0,2.610000000000582
2026-08-18,663,7700.06,1.0,1.0,6.0,16.0,3.1799999999993815
2026-08-19,709,7724.41,1.0,0.0,5.0,,0.8200000000006185
2026-08-19,786,7719.28,1.0,1.0,2.0,14.0,0.24000000000069122
2026-08-20,674,7686.27,1.0,1.0,2.0,8.0,0.0
2026-08-20,712,7677.2,1.0,0.0,21.0,,2.360000000000582
2026-08-20,826,7664.82,1.0,1.0,14.0,16.0,3.6400000000003274
2026-08-21,741,7681.83,1.0,0.0,29.0,,2.300000000000182
