min,all_L,all_Lc,all_Lp,nextExp_L,nextExp_Lc,nextExp_Lp,retail_L,retail_Lc,retail_Lp,open,high,low,close,r15,r30,n_r15,pull,run,dur,dC,dP,dN,dd,broke,rate,cpr,share,steep,fire,fire_first,min_to_3,min_to_5,adv_before_3,p_entry,day,lo_i,L_pk,rate_now,rate_prev,accel,resp_full,resp_recent,responding,giveback,cons,w5,w3,a10,minside,steep_ok,Q,inval
614,-1.606739654999999,-0.62721788,-0.9795217750000004,-1.1634182320000002,-0.7131514540000002,-0.4502667779999998,-0.37790685600000007,-0.37940768999999996,0.00150083400000001,7746.59,7747.96,7745.85,7746.4400000000005,0.40423474900000067,-0.019460592999999138,0.36711835999999987,12.229999999999563,0.9960797500000005,10.0,0.5271705699999999,0.4689091799999997,0.7370855079999998,0.09847321799999986,False,5.9764785000000025,0.8894828480277261,0.7399864398407853,False,True,True,4.0,4.0,1.0600000000004002,7746.39,2026-08-12,34,-1.5082664369999992,4.117664448000003,7.835292552000003,-3.717628104,3.915349147496015,1.5154221716721183,False,0.0988607769608807,0.7,1.0,1.0,0.0,0.4689091799999997,False,2,False
629,-0.6192271109999992,-0.3191162330000001,-0.30011087800000047,-0.2888200200000004,-0.4249248880000003,0.13610486800000018,-0.4273212540000001,-0.3559027849999999,-0.071418469,7753.55,7754.14,7749.24,7750.47,0.9875125439999999,1.3917472930000006,0.8745982119999998,4.640000000000327,1.9835922940000004,25.0,0.8352722169999998,1.1483200769999997,1.6116837199999996,0.591676826,False,4.7606215056000005,0.7273862346656506,0.8125075525222822,True,True,True,17.0,,12.63000000000011,7750.58,2026-08-12,34,-0.02755028499999912,-0.1410695999999998,3.1860780119999994,-3.327147611999999,3.9977973417153683,-43.799999999991996,False,0.2982855034221059,0.56,0.0,1.0,1.0,0.8352722169999998,False,1,True
647,-0.940471289999999,-0.8501076140000005,-0.09036367600000053,-0.6169275220000008,-0.920830125,0.3039026030000002,-0.22218849200000018,-0.25277359,0.03058509799999999,7752.45,7752.610000000001,7747.76,7748.22,0.8673314080000001,0.16449986300000008,0.6611952539999997,6.890000000000327,0.8673314080000001,15.0,0.18783065299999968,0.679500755,0.6611952539999997,0.22634894000000005,False,3.4693256320000003,0.2764244949220103,0.7623328844099689,False,True,True,,,10.110000000000582,7748.1900000000005,2026-08-12,62,-0.7141223499999989,3.5005789080000023,0.23707231200000042,3.263506596000002,3.4012373733845203,-6.753168724743696,False,0.2609716861539044,0.7333333333333333,0.0,0.0,1.0,0.18783065299999968,False,3,False
694,-2.521702606,-1.8460977570000012,-0.6756048490000006,-1.6333309579999997,-1.6161909920000002,-0.017139965999999812,0.1043989029999999,-0.3174872010000002,0.4218861039999999,7740.29,7741.6900000000005,7739.5,7741.55,0.1874690249999995,-0.14977610200000058,0.44992850800000017,4.4399999999996,0.6363230399999993,11.0,0.39267692499999995,0.24364611499999989,0.7488793519999999,0.3392785210000002,False,3.4708529454545416,0.6204747452374492,1.1768854888548443,False,True,True,26.0,37.0,3.449999999999818,7741.53,2026-08-12,113,-2.1824240849999996,-1.4979799920000048,7.674638951999997,-9.172618944000002,0.7543338364747464,-82.19999999999345,False,0.5331859757899079,0.6363636363636364,1.0,1.0,0.0,0.24364611499999989,False,1,False
701,-2.34629391,-2.061877851000002,-0.28441605900000055,-1.4727593369999998,-1.8362878080000002,0.3635284710000002,0.22054255999999992,-0.31311105900000025,0.5336536189999999,7738.2,7740.25,7738.08,7740.25,0.6988828419999993,0.4645390269999998,0.780687371,5.739999999999782,0.8117317359999991,18.0,0.1768968309999992,0.634834905,0.9094509729999998,0.16386982500000036,False,2.7057724533333305,0.2786501334547747,1.1203836596084507,False,True,True,8.0,20.0,0.27000000000043656,7740.52,2026-08-12,113,-2.1824240849999996,-0.15905554799999955,-1.184652252000003,1.0255967040000034,-1.010185956311692,-73.60000000000582,False,0.201876824241846,0.6666666666666666,1.0,1.0,0.0,0.1768968309999992,False,3,False
751,0.789919172000001,-0.26575178500000285,1.0556709569999994,1.103701536,-0.5214050590000001,1.6251065949999999,0.6250344989999997,-0.21751336900000032,0.8425478680000001,7747.28,7747.28,7744.8,7745.12,0.5022527579999999,1.6083999999999998,0.3796548730000001,3.8200000000006185,3.947944818,68.0,1.9730228969999983,1.974921921,3.4859118459999996,0.26382472200000007,False,3.483480721764706,0.9990384308464002,0.8829687360640307,False,True,True,6.0,8.0,0.42000000000007276,7745.110000000001,2026-08-12,113,1.053743894000001,-1.1734112280000017,9.176830872,-10.350242100000003,1.0258502047786682,-60.0,False,0.0668258382936699,0.6029411764705882,1.0,1.0,0.0,1.9730228969999983,False,3,False
813,1.3743664820000012,0.2132287729999971,1.1611377089999988,1.4434413229999996,-0.3065943370000002,1.7500356600000004,1.225535815,0.0681757939999997,1.1573600210000001,7751.87,7753.03,7751.400000000001,7752.2300000000005,0.36031722199999994,-0.5677471109999994,0.359861502,3.1099999999996726,0.5837492809999999,11.0,0.336759592,0.24698968899999973,0.5104395500000001,0.0,False,3.184086987272727,0.7334303012221245,0.8744157236914869,False,True,True,52.0,,2.7600000000002183,7752.35,2026-08-12,232,1.3743664820000012,4.835323799999999,1.1629628639999994,3.672360936,3.665957406121975,1.414589856424387,False,0.0,0.5454545454545454,0.0,0.0,0.0,0.24698968899999973,False,3,False
909,1.5358235380000003,0.33612222799999764,1.19970131,1.3593761279999999,-0.2838412149999997,1.6432173429999999,2.0020109179999994,0.16741726599999962,1.8345936519999995,7755.42,7755.53,7754.610000000001,7754.66,-1.1461083249999997,-1.1517047760000003,-0.8759550310000004,4.0900000000001455,0.47536089400000003,10.0,0.10438821600000003,0.370972678,0.4198557829999996,0.5320224869999999,False,2.852165364,0.2813905772327525,0.883235849434429,False,True,True,,,11.800000000000182,7754.72,2026-08-12,329,2.067846025,-2.9664028799999995,8.670733608,-11.637136488,2.5875077557380295,-10.200000000004366,False,1.1191970010894499,0.4,0.0,0.0,1.0,0.10438821600000003,False,0,True
729,-3.7327208899999986,-1.493811612,-2.238909278000001,-3.491761829000001,-2.8488080289999993,-0.6429538000000005,-0.29779613799999993,-0.09461198300000014,-0.20318415500000012,7783.77,7783.91,7782.3,7782.75,0.5297659860000001,-0.11464882100000029,0.41451452499999997,3.100000000000364,0.8773339050000004,10.0,0.4240690699999998,0.4532648349999997,0.6875395110000002,0.3473919620000001,False,5.2640034300000025,0.93558784457656,0.7836691447596567,False,True,True,16.0,20.0,3.4400000000005093,7782.81,2026-08-13,149,-3.3853289279999985,3.705414779999998,6.822592080000007,-3.1171773000000087,5.562306406020074,4.015744763666482,True,0.39596322451484417,0.5,1.0,1.0,0.0,0.4240690699999998,False,1,False
827,-4.094469714,-2.163687265,-1.930782449000001,-3.3841007930000027,-2.964563418000001,-0.4195373750000005,-0.4888784509999999,-0.629075927,0.14019747599999985,7791.25,7791.62,7791.05,7791.18,-1.092952243,-2.5109368549999997,-0.7476287709999996,5.489999999999782,0.5113377300000002,10.0,0.10865310199999945,0.4026846279999998,0.4197184620000005,0.17495868500000045,False,3.068026380000001,0.26982182692108997,0.8208243541895498,False,True,True,44.0,49.0,1.5499999999992724,7791.28,2026-08-13,247,-3.9195110289999993,1.5693788159999968,4.566673944000005,-2.997295128000008,1.7209760758317383,0.7646337441095981,False,0.3421587626635734,0.5,1.0,0.0,0.0,0.10865310199999945,False,0,False
